cps21_ResponseId,cps21_imp_iss,category
R_T7nQydPf35i1utX,"non-antagonistic, non-imperialist foreign policy with other countries",Foreign Policy and National Defense
R_3FOMEohqv1FG0aJ,Health care,Healthcare and Senior Care
R_qI2Ds9vckEpRSI9,La fin de la PCRE,COVID-19 Pandemic and Recovery
R_AvUBPG5rVBYukSt,Covid,COVID-19 Pandemic and Recovery
R_1CkLowLgbuhZOPv,The economy and jobs.,Economy and Jobs
R_Wd2twxmLyLNRpzb,Taxes,Deficit and Fiscal Responsibility
R_3soZ32XDDlGW1z7,Chercher un bon administrateur pour le pays.,Leadership and Government Accountability
R_1CHnVFpkEcpBSe2,Housing affordability,Housing Affordability
R_1f1LCHIvcfeQGqW,Election system,Electoral and Democratic Reform
R_2XjuVkUPrbdCYVP,"Survey Feedback:  Please include a progress bar so participants can see their progress.  Please increase the reward for the survey if there is no progress bar to reflect the inconvenience.housing crisis, ending first past the post, first nations reconsiliation, climate change",Housing Affordability
R_24ufSjHEwcjRWRT,Les valeurs canadiennes,Leadership and Government Accountability
R_ZxacPcweEPIuEGR,Covid 19 management & economic recovery,COVID-19 Pandemic and Recovery
R_1CjywXvkPwhACdb,Climate change,Climate Change and Environment
R_1LcUUN0jH1YHu31,Canadian health system,Healthcare and Senior Care
R_eXrz2Wq9xBOeiul,Choisir le bon premier ministre,Leadership and Government Accountability
R_2saQS2vfv7I173M,deficit an debt,Deficit and Fiscal Responsibility
R_NWlZPJJVR1pDL33,housing availability and pricing,Housing Affordability
R_3lxGq08DH6PFdv0,Économie,Economy and Jobs
R_1Hc90MH2wrxnZkV,Healthcare,Healthcare and Senior Care
R_12MszYTHACpHm08,COVID-19,COVID-19 Pandemic and Recovery
R_233OLiAXwJ4vvPE,Économie,Economy and Jobs
R_1MLguj00MH2eawo,Impôt,Deficit and Fiscal Responsibility
R_5tG5eXKvrH3FIZP,The truth.  Enough BS already.,Leadership and Government Accountability
R_1pJRMuvfQIm3Gq3,Covid Recovery,COVID-19 Pandemic and Recovery
R_1d6S9M9WKJp9C9n,Getting Trudeau out,Leadership and Government Accountability
R_3HjYpA21wvVlqLD,Electoral reform,Electoral and Democratic Reform
R_3CJJdtv6c0YoN4o,Having a leader that actually cares for their people and country,Leadership and Government Accountability
R_1Ff9LBXeCfiZjTb,Freedom rights,Leadership and Government Accountability
R_11hzyC6EI3oeur1,Healthcare,Healthcare and Senior Care
R_2wv6BZPuSZwJxo8,Education,Economy and Jobs
R_1GHU3MjMpofSCkl,environment,Climate Change and Environment
R_1CvIoiNbzRWSkUq,Diversity and inclusion,Indigenous and Minority Issues
R_2uwUzmrnELKI4bQ,healthcare,Healthcare and Senior Care
R_Y2XKRN1YDSVmgX7,Get rid of catch and release,Law and Order
R_3jdmo7zkgR4Fqd7,climate change and environmental issues,Climate Change and Environment
R_XMniyKSZMmXqMRX,améliorer la qualité de vie des canadiens,Economy and Jobs
R_2uPahKuRlCZZn8Z,Budget,Deficit and Fiscal Responsibility
R_2qBJQiSBZsOzSud,that we be led by elected officials that care for citizens not themselves,Leadership and Government Accountability
R_w1adWDKONHJbTOx,Economic recovery,Economy and Jobs
R_1puQDU5ROEE4xuw,The economy,Economy and Jobs
R_3FRtgQbJCDJMr54,Économie,Economy and Jobs
R_3g2fEGk4z9BJebU,COVID-19,COVID-19 Pandemic and Recovery
R_1hBaeWcgo8eR2Vo,Affordability,Housing Affordability
R_3pfgTEbbklqdWsk,Lowering the deficit,Deficit and Fiscal Responsibility
R_3dQAiJKKhgY0f6I,Healthcare,Healthcare and Senior Care
R_2Veku0IW7Y1hPcm,National unity,National Unity and Federalism
R_3nix5oG9CWtpy1k,housing,Housing Affordability
R_2RUJ5CNcoItbQcI,Le contrôle de la dette pour les générations futures,Deficit and Fiscal Responsibility
R_1iqG4qSn75pQHSN,Getting Trudeau out of office,Leadership and Government Accountability
R_ONzbFsmC6kEgsZX,THAT CERB DOES NOT NEED TO BE REPAID,COVID-19 Pandemic and Recovery
R_1CEJRHkhIoq52Eb,Environnement,Climate Change and Environment
R_1F8LnqyRXVFFuPC,Health care,Healthcare and Senior Care
R_6x6Pz96UV0Svx9n,economy,Economy and Jobs
R_3lLYh1NY1XHD4wE,None,Don't know or Uncertain
R_1QtQePsw0ZQgqw0,Taxes,Deficit and Fiscal Responsibility
R_AHDWxti7N6MXbxv,Identité,Indigenous and Minority Issues
R_27eE5PByKHRXWht,Environnement (climat),Climate Change and Environment
R_Yb2NJKwyNGMccaR,La situation Covid et sa gestion pan canadienne,COVID-19 Pandemic and Recovery
R_cTQ0KbrDJuIk6Gd,Discrimination against indigenous people,Indigenous and Minority Issues
R_3qEVp5p6LZgnjd2,Our country’s financial future,Deficit and Fiscal Responsibility
R_3EMZGttQ7oaoptk,Climate change,Climate Change and Environment
R_3HYMFPS9mnkrWS6,healthcare,Healthcare and Senior Care
R_3fd6fpqBOGsNeHp,the health care system,Healthcare and Senior Care
R_1IfLh0VGmcQdYsH,climate change,Climate Change and Environment
R_3Es7VlnQlsnNLTd,I don’t know,Don't know or Uncertain
R_2qxd5gxZTUpBBKG,Dealing with the pandemic (COVID),COVID-19 Pandemic and Recovery
R_12xteUIHkmTqhwd,LA BONNE GESTION DE LA SANTÉ PUBLIQUE,Healthcare and Senior Care
R_3KrrDY9SXEhsMw1,Who to vote for,Don't know or Uncertain
R_3RqK18TSsQD9KOm,I don't know,Don't know or Uncertain
R_XjKS5zHOP8UsKqd,Having a competent government,Leadership and Government Accountability
R_1Kvd0CzRQe0d57G,transition énergétique,Climate Change and Environment
R_zbX6fAb2ggkde5H,Relance economique,Economy and Jobs
R_1lcbRVKN9YzfJV7,a plan to fight covid 19 and preparation for future pandemics,COVID-19 Pandemic and Recovery
R_3oHNFn9xCSKEdmy,Environment,Climate Change and Environment
R_bORLU4bybRYpbWx,Debt,Deficit and Fiscal Responsibility
R_2txkZtF8TuEYPfo,How they will handle covid,COVID-19 Pandemic and Recovery
R_p5l28LDnOQUexKV,Covid19,COVID-19 Pandemic and Recovery
R_87HesT1wZJdJ8hH,Affordable housing,Housing Affordability
R_1LNJYAesEBCTq89,No comment,Don't know or Uncertain
R_PGo6Tx2MPG3Q9WN,Getting rid of Justin Trudeau,Leadership and Government Accountability
R_3hDVoXZ0ZNGm85j,deficit,Deficit and Fiscal Responsibility
R_1JPmoKTmWmIz6pk,Healthcare,Healthcare and Senior Care
R_2ScuhJpzbqx3211,Economy,Economy and Jobs
R_RfQbp0sBe0sXXLX,Climate Change,Climate Change and Environment
R_3Oia7YS0SuFki59,L'environnement,Climate Change and Environment
R_cHkwX7o9l8y3o9r,Economy,Economy and Jobs
R_3DdnBXJFRqh8vfQ,La Pandemie,COVID-19 Pandemic and Recovery
R_tJPEqEsMGHxQ2MV,Se débarrasser de Trudeau,Leadership and Government Accountability
R_1NlCC9fkYlX16rp,Racism human rights environment,Indigenous and Minority Issues
R_D8jZ4EVlkHWfiIV,COVID,COVID-19 Pandemic and Recovery
R_3gMLnF0BEa2HfxT,change,Leadership and Government Accountability
R_2duQRaxmttl8P3y,the climate crisis,Climate Change and Environment
R_1iaLWaUbFrWyi8n,Addressing climate change,Climate Change and Environment
R_2AHlfcGb8NrWLpk,Climate emergency,Climate Change and Environment
R_12Lo4UOesjisat8,Homelessness,Housing Affordability
R_3hxy7EcX5oybvWU,Économie,Economy and Jobs
R_DHqBSw3qZUl9acp,Keeping our democracy,Electoral and Democratic Reform
R_eWGTY1asaJCtO5r,Our country's debt!!!,Deficit and Fiscal Responsibility
R_3L1lZaUkIpAPEgD,avoir un gouvernement qui saura gérer le pays et non son égo,Leadership and Government Accountability
R_yVkc69xQCtqnXA5,covid19,COVID-19 Pandemic and Recovery
R_27O7foduPRwP4Yf,Reshaping Care for Older Adults,Healthcare and Senior Care
R_3MhexIeOnoeqlUf,Environment,Climate Change and Environment
R_3nVoRo2VUla5ON7,climate change,Climate Change and Environment
R_1CI8Fxvh0exDDON,la santé,Healthcare and Senior Care
R_3n94I5XEsWbevcC,La gestion de l'économie en temps de crise,Economy and Jobs
R_1QMCdQARFteCQx4,Overcoming covid,COVID-19 Pandemic and Recovery
R_10OEBmuK2Dhf7cR,La covid,COVID-19 Pandemic and Recovery
R_bPLfJvpKOX2eEx3,Housing affordability,Housing Affordability
R_1mjT4f33zeJNlHc,Urgence Sanitaire,COVID-19 Pandemic and Recovery
R_ZdvBtrFBGlhsAGB,CCB and support for the Middle Class,Economy and Jobs
R_4VAPWiLOEKpdNSN,-99,Don't know or Uncertain
R_1ewSJahkAjmNGOJ,Climate change,Climate Change and Environment
R_32WQKUd5qWtyiRK,senior citizen supports,Healthcare and Senior Care
R_1DqCtfGuEli68k8,National Defense Procurement,Foreign Policy and National Defense
R_21ngbcXw3I3M69y,La santé,Healthcare and Senior Care
R_da8aCGYxxL1kHip,-99,Don't know or Uncertain
R_sogOfxLtZ6Xg7pn,Covid,COVID-19 Pandemic and Recovery
R_1gSJC7Lg6HffPss,La sante,Healthcare and Senior Care
R_usuPbFQpyERXe7f,aucune idee,Don't know or Uncertain
R_qFt5ZtX0FH3XPyN,Quality of Senior care facilities,Healthcare and Senior Care
R_9z6tbrNPuXLpoOJ,More money for people on disabilty,Economy and Jobs
R_31LXnC5k3UrFAAG,Global warming,Climate Change and Environment
R_3JhnCpxicv947R8,Santé,Healthcare and Senior Care
R_0vzvp6VvFOy8LGF,L’environnement,Climate Change and Environment
R_u8v5HhuOgaSI9PP,Healthcare,Healthcare and Senior Care
R_2wKqjre77SwIzVg,Job security,Economy and Jobs
R_1C2cRLpvfCx2wvw,Covid,COVID-19 Pandemic and Recovery
R_3nOybctALR5bHhz,Government accountability,Leadership and Government Accountability
R_2CfTSHBQaKzFZsd,Climate Change,Climate Change and Environment
R_WeTSHRDEO2tnCDf,Healthcare,Healthcare and Senior Care
R_UA8v7nDugvrXNzX,Recovering economic,Economy and Jobs
R_3iW2nilHsibGmY1,Justin Trudeau's power grab,Leadership and Government Accountability
R_3GE2A7GEV3HuNXu,Law & Order,Law and Order
R_O1hFW9y38rKG0bn,Économie,Economy and Jobs
R_bf4rNYsbzqSOcuJ,nothing,Don't know or Uncertain
R_1QKS6NGmUIFjN7f,climate change,Climate Change and Environment
R_3rHPxL3NreDtSs3,Pandemic response,COVID-19 Pandemic and Recovery
R_3rZZmerS63iL4zL,SENIOR CARE,Healthcare and Senior Care
R_2qn1QxbmabddJgz,Indigenous matters and affordable housing,Indigenous and Minority Issues
R_1KseQl36guwjGBH,Planet,Climate Change and Environment
R_ZlTYeUOYu0rnOKd,système de santé,Healthcare and Senior Care
R_295k9MpaTlvJrCg,Housing affordability,Housing Affordability
R_z2QfjCJZS7kkZMt,Corruption,Leadership and Government Accountability
R_PzcRycUNvZkadUt,Immigration,Immigration
R_1rqZOgVld6Xdk7L,Immigration,Immigration
R_2ZUpQaj2wNsaZYg,Le partage des compétences entre Quebec et Ottawa,National Unity and Federalism
R_1g8sBpoNi0MHLek,Housing & climate change,Climate Change and Environment
R_3lSOsLuvGWCY5KG,Leadership lacking,Leadership and Government Accountability
R_1kSUaKiSlxCIGFC,Healthcare,Healthcare and Senior Care
R_31cm1j448SOaKZc,Economy recovery,COVID-19 Pandemic and Recovery
R_wO9Fcx6QpRp9Qjv,Economy,Economy and Jobs
R_A0eWcqsp1jhOlSF,Economy,Economy and Jobs
R_1pYUwMXKX0JxFuO,Dealing with COVID-19,COVID-19 Pandemic and Recovery
R_1py9s82lsEFhEKR,LES AUTOCHTONES,Indigenous and Minority Issues
R_2UbEBrsj5SoGBpP,To make my vote count,Electoral and Democratic Reform
R_1N8ELQQuVkGXuFn,Covid,COVID-19 Pandemic and Recovery
R_2eRPsRpk4zbgUS8,Climate change,Climate Change and Environment
R_1luhE15Xxw8V2mg,Protection de l”environnement,Climate Change and Environment
