cps21_ResponseId,cps21_imp_iss,category
R_2qn1QxbmabddJgz,Indigenous matters and affordable housing,Housing Affordability & Homelessness
R_1KseQl36guwjGBH,Planet,Climate Change & Environment
R_ZlTYeUOYu0rnOKd,système de santé,Healthcare & Senior Care
R_295k9MpaTlvJrCg,Housing affordability,Housing Affordability & Homelessness
R_z2QfjCJZS7kkZMt,Corruption,"Government Leadership, Ethics & Accountability"
R_PzcRycUNvZkadUt,Immigration,Immigration & Multiculturalism
R_1rqZOgVld6Xdk7L,Immigration,Immigration & Multiculturalism
R_2ZUpQaj2wNsaZYg,Le partage des compétences entre Quebec et Ottawa,"National Unity, Quebec & Regional Issues"
R_1g8sBpoNi0MHLek,Housing & climate change,Housing Affordability & Homelessness
R_3lSOsLuvGWCY5KG,Leadership lacking,"Government Leadership, Ethics & Accountability"
R_1kSUaKiSlxCIGFC,Healthcare,Healthcare & Senior Care
R_31cm1j448SOaKZc,Economy recovery,"Economy, Jobs & Inflation"
R_wO9Fcx6QpRp9Qjv,Economy,"Economy, Jobs & Inflation"
R_A0eWcqsp1jhOlSF,Economy,"Economy, Jobs & Inflation"
R_1pYUwMXKX0JxFuO,Dealing with COVID-19,COVID-19 Pandemic Response & Preparedness
R_1py9s82lsEFhEKR,LES AUTOCHTONES,Indigenous Peoples & Reconciliation
R_2UbEBrsj5SoGBpP,To make my vote count,"Government Leadership, Ethics & Accountability"
R_1N8ELQQuVkGXuFn,Covid,COVID-19 Pandemic Response & Preparedness
R_2eRPsRpk4zbgUS8,Climate change,Climate Change & Environment
R_1luhE15Xxw8V2mg,Protection de l”environnement,Climate Change & Environment
R_yIpQH3dPFLQzKff,Climate change,Climate Change & Environment
R_12l6B4IsUk54HOi,Environmental Protection and Climate Change,Climate Change & Environment
R_vDC1D79V9h8M9YB,Covid,COVID-19 Pandemic Response & Preparedness
R_3IWxKlWFeOMmtQY,to find a good  leader,"Government Leadership, Ethics & Accountability"
R_1Dvvu5ReJ8aK6yV,Transparency,"Government Leadership, Ethics & Accountability"
R_20OLCKxlQ5podO5,Personal freedoms,"Law, Order & Public Safety"
R_2WCi88GlSVQ2PET,Climate change,Climate Change & Environment
R_2chFF118MjPUo55,Transparency,"Government Leadership, Ethics & Accountability"
R_1ILDuaaDK3QfZ4c,empêcher Trudeau de devenir majoritaire.,"Government Leadership, Ethics & Accountability"
R_2VkaLn9NN8JSVVN,Youth Employment,"Economy, Jobs & Inflation"
R_2xxBNpfJN1NhMRu,Housing,Housing Affordability & Homelessness
R_3KpYcRWv8mMXHGZ,Economy,"Economy, Jobs & Inflation"
R_TtRhRLAKAgrbCiB,"Getting rid of a corrupt,entitled politicalparty","Government Leadership, Ethics & Accountability"
R_2YVSRwneWSmGHT6,La gestion dès finances,"Economy, Jobs & Inflation"
R_2CgehtT8rMZYlRQ,Le covid,COVID-19 Pandemic Response & Preparedness
R_3OftaNwndBwIj6P,Income inequality and home affordability,Housing Affordability & Homelessness
R_1FCHuAT3cPkyB5t,Santé,Healthcare & Senior Care
R_3lYL3J3AFI7qURO,Getting this pandemic under control,COVID-19 Pandemic Response & Preparedness
R_9Hwi094tFtm5szL,living affordability,"Economy, Jobs & Inflation"
R_3MzCeFbQTJQRBSO,Santé et environnement,Healthcare & Senior Care
R_3NJb4T5nGNVpQkW,taxes,"Economy, Jobs & Inflation"
R_qW19JRTHHDaBr8Z,Protection from the Coronavirus,COVID-19 Pandemic Response & Preparedness
R_3jcAlFKJEqAuPb8,Les changements climatiques,Climate Change & Environment
R_2fiZDMjFffu7EqG,Fiscal transparency,"Government Leadership, Ethics & Accountability"
R_3lREnhDDNjTAlTH,Treat Western provinces like they are part of Canada,"National Unity, Quebec & Regional Issues"
R_NVX7s5okaKQfD5n,The cost of living,"Economy, Jobs & Inflation"
R_3gOgH0I8F220zSR,Health care,Healthcare & Senior Care
R_3CUyL0BriP4YnTS,climate change,Climate Change & Environment
R_2ypSlhkdm5nhJ9l,bacic income implimentation,"Social Programs, Education & Childcare"
R_TtIrSEJqoDcoAEh,the environment,Climate Change & Environment
R_10C6IrRdfStQzYo,Covid,COVID-19 Pandemic Response & Preparedness
R_31bj1H1QwexDslB,A national dental program that covers cleaning and preventative measures,Healthcare & Senior Care
R_3KpaWKzdLa9j1aO,Poverty and social housing,Housing Affordability & Homelessness
R_3F2jUt99bTwjkKk,Environment,Climate Change & Environment
R_3Ddw8mjAIvEPiF1,Covid 19 economic impacts,COVID-19 Pandemic Response & Preparedness
R_2PpNcw2WlfuyTM7,healthcare,Healthcare & Senior Care
R_2PBjBhJmdLQd1Mx,Inflation,"Economy, Jobs & Inflation"
R_2rDysrvvRvXLCaI,Inflation,"Economy, Jobs & Inflation"
R_3lVy3bBCvonFyiV,Economic,"Economy, Jobs & Inflation"
R_3oBkb34n9I53CRE,Debt,"Economy, Jobs & Inflation"
R_29gIodP2UmEOeWd,Housing costs,Housing Affordability & Homelessness
R_2Qs38Xqi3LNGavv,Environnement,Climate Change & Environment
R_1LhwyfD3mdgzyoQ,Climate change,Climate Change & Environment
R_0TdQAklnxx6lzmV,To much promisses,"Government Leadership, Ethics & Accountability"
R_3JKlSI01Ko7sToc,Economy,"Economy, Jobs & Inflation"
R_3hrM3qVEdZbpLEh,mandatory vaccinations,COVID-19 Pandemic Response & Preparedness
R_3g6mrlPTdkXxZgN,Changement climatique,Climate Change & Environment
R_3O7Gfphqr4fJajg,environnement,Climate Change & Environment
R_2Yy3Luct6empC5K,Affordability,"Economy, Jobs & Inflation"
R_2y2yRcYqsre1fk6,Affordable Housing,Housing Affordability & Homelessness
R_2c7pFSIVBHRDWEm,Economy,"Economy, Jobs & Inflation"
R_1LBUwAEMjYxe5oV,hate carbon tax,Climate Change & Environment
R_cHFWwuouScJRfBn,The Economy,"Economy, Jobs & Inflation"
R_1JIqT0fD9sf4RXG,healthcare,Healthcare & Senior Care
R_1hA39t9VPjRnyrN,Cost of living,"Economy, Jobs & Inflation"
R_2TZvYA9LPV3qZfp,transparency,"Government Leadership, Ethics & Accountability"
R_2aLbszUgqBiV1Sg,a honest politician,"Government Leadership, Ethics & Accountability"
R_268AbhXrIcXms3u,COVID-19 et l’économie du pays ainsi que l’environnement,COVID-19 Pandemic Response & Preparedness
R_2QLFiKvk0lBsUXI,Corruption,"Government Leadership, Ethics & Accountability"
R_1gcjGkMAR4xcbGB,L'environnement,Climate Change & Environment
R_qIn6VASqNzhdrTH,SOCIAL AND ENVIRONMENTAL,Climate Change & Environment
R_R92a5cwg2Re6UVP,Covid,COVID-19 Pandemic Response & Preparedness
R_12fOCXtAQqTxAmi,HEALTH CARE,Healthcare & Senior Care
R_ZKSDNtTEEwh6xoZ,"recovery, both financial and social","Economy, Jobs & Inflation"
R_2R3KSs9HHkydd13,The economy,"Economy, Jobs & Inflation"
R_1I41fVyn4GN6H4F,Les finances,"Economy, Jobs & Inflation"
R_3iJdr7xtJnzGVE4,Health,Healthcare & Senior Care
R_r3AXDNpwMiIEQyB,Economy,"Economy, Jobs & Inflation"
R_3M6zVCceRCI5rlx,Covid 19,COVID-19 Pandemic Response & Preparedness
R_32JBMRBHpTKLnOk,Health,Healthcare & Senior Care
R_1DC0ZdoukEVLBrq,Climate Change,Climate Change & Environment
R_D2UdgbQ8Q7NsOhX,healthcare,Healthcare & Senior Care
R_sHZM9r3q33SiFHP,Honest government,"Government Leadership, Ethics & Accountability"
R_Qaod6OeulTohifL,Healthcare,Healthcare & Senior Care
R_3kNi6oXqCqTFtcF,not sure,No Opinion / Uncertain
R_22J4CuFJwf3C5Zg,Honesty,"Government Leadership, Ethics & Accountability"
R_SOkCJJTF3MFVuVz,Relance économique,"Economy, Jobs & Inflation"
R_31bmDFocjGBGaHS,how they are going to handle covid,COVID-19 Pandemic Response & Preparedness
R_3HzEld52vK6c6yc,Get rid of Trudeau,"Government Leadership, Ethics & Accountability"
R_eVUuny5iEFaDV9n,"L environnement, réchauffement de la planète, le sytème de santé,",Climate Change & Environment
R_2zAVQUbJve1iTJi,Health care and cost of living especially For single moms,Healthcare & Senior Care
R_2b2XIolDGKd1kRq,Gérer la Covid 19,COVID-19 Pandemic Response & Preparedness
R_2X54gVXeCn9dbTq,Climate change,Climate Change & Environment
R_31yjneN0fAdjBrS,What changes will be made after the pandemic ends in terms of the health system and the economy,Healthcare & Senior Care
R_3G84mj754c0hmfM,Le souhait de Justin Trudeau d'avoir un gouvernement majoritaire,"Government Leadership, Ethics & Accountability"
R_3k6VKhMyRIWGhaA,economic recovery from covid,"Economy, Jobs & Inflation"
R_2Xba1kVLvIw4klw,CLIMATE CHANGE,Climate Change & Environment
R_3RlKmmgH6VsokrX,L'argent en science,"Social Programs, Education & Childcare"
R_BEbYaJg4H9w2rip,Immigration,Immigration & Multiculturalism
R_2Sc6kmsxIht2oEM,Environnement,Climate Change & Environment
R_dgReXZv3oVBQAwh,financial accountability,"Government Leadership, Ethics & Accountability"
R_ZK8J9mYY9GFIIr7,Seniors,Healthcare & Senior Care
R_1DSUVTW5No2Mh2U,Not sure,No Opinion / Uncertain
R_1FQIQXa8Budd7xs,I don't like re'elections,No Opinion / Uncertain
R_3gT8QCIDp2jEU9s,Health care,Healthcare & Senior Care
R_TjaZ9kzCvPaQfV7,Économie,"Economy, Jobs & Inflation"
R_OlKlrDBg4NC3Ra9,SPENDING,"Economy, Jobs & Inflation"
R_SAVj9Zf5U3lCgAV,Economy and inflation,"Economy, Jobs & Inflation"
R_3M0xTfMF62ZNfqr,Environnement,Climate Change & Environment
R_XzSvSScxLLpzNAt,human rights,"Law, Order & Public Safety"
R_3PGleVEE1b9XZKs,Human rights,"Law, Order & Public Safety"
R_25FTePYypPTF8ni,Environment,Climate Change & Environment
R_2OGB2CVpcIo7elS,Gestion de la pandémie,COVID-19 Pandemic Response & Preparedness
R_3oTnHDRBVxoXi7D,Québec,"National Unity, Quebec & Regional Issues"
R_29idgE92HDKuE0O,euthenasia,Healthcare & Senior Care
R_3GvbAEb9YrmgdSx,Climate change,Climate Change & Environment
R_2tJQYBohWr8evtT,Housing,Housing Affordability & Homelessness
R_3QXbyuhmYVdotec,"To help the needy, update the Federal pension to be able to survive with the cost of everything going up, we can't afford to live properly",Healthcare & Senior Care
R_33m783KcIovmdVu,Ethics and competence,"Government Leadership, Ethics & Accountability"
R_tPTgoANUGHqGIGB,Climate change,Climate Change & Environment
R_3I9VKzV2XgTDUaR,Climate Change,Climate Change & Environment
R_2Sxazj4lg3CgcjP,economic recovery,"Economy, Jobs & Inflation"
R_1DveLaFiKKGzxp2,Healthcare,Healthcare & Senior Care
R_3k0QyccxNmryM2W,Climate change,Climate Change & Environment
R_3Ldp9g1DbpVFroU,getting rid of Trudeau,"Government Leadership, Ethics & Accountability"
R_1ltuQCkBMqNJLAt,Housing,Housing Affordability & Homelessness
R_3Ej27n75wYhF238,Freedom and liberties,"Government Leadership, Ethics & Accountability"
R_2Cgk3Pfft3ZZib5,Financial stability and affordable housing,"Economy, Jobs & Inflation"
R_1IGUIAnX9hX4oYU,La protection de l’environnement et de nos droits,Climate Change & Environment
R_25HGyG4yGlnqVyr,Economy,"Economy, Jobs & Inflation"
R_2Uata3Ulat8XUyA,L'environnement,Climate Change & Environment
R_2wad9Gy1fpE1r2X,La dette,"Economy, Jobs & Inflation"
R_3iWpI6qss5IMiLe,Health care,Healthcare & Senior Care
R_2bqMfUVZvJrrZ4d,coved 19,COVID-19 Pandemic Response & Preparedness
R_2Qlbh79DYBbJhcJ,health care,Healthcare & Senior Care
R_sUynyjewr9nJD4R,"Housing, homeless population, drug crisis and climate change",Housing Affordability & Homelessness
R_2UWa8xNV3kxgeEE,No squabbling among the candidates,"Government Leadership, Ethics & Accountability"
R_23dU36p7tn9BbEA,Economy,"Economy, Jobs & Inflation"
R_1eWYqkJ6luL8xvy,"cost of health care for those (like me) with no insurance plan - cost of prescriptions, eye care, dental care etc",Healthcare & Senior Care
R_wTznmBbtvoAEgJb,Reopening the economy,"Economy, Jobs & Inflation"
R_3P4Z5yILRbxuOta,Universal basic income,"Social Programs, Education & Childcare"
R_1NymZUv1W0f4XK4,Covid,COVID-19 Pandemic Response & Preparedness
R_30iOWHy0Ym9oXvs,post covid economic recovery,"Economy, Jobs & Inflation"
R_1GNzFDHRLPb6bRM,Biased news articles/false information,"Government Leadership, Ethics & Accountability"
R_3388Q83CYQ7Vs2i,No clue,No Opinion / Uncertain
R_3nCSWQLpPVZGbIu,Climate change and environmental protection,Climate Change & Environment
R_1OHL4ybMsko4anW,Environnement,Climate Change & Environment
R_29jqyP2ZHjmTEIJ,Fiscal responsibility,"Economy, Jobs & Inflation"
R_3lQERW81DXpikN8,Fake news and western seperation,"National Unity, Quebec & Regional Issues"
R_1FfcpXQ4DXlDROy,Pandemic,COVID-19 Pandemic Response & Preparedness
R_1F9P5bSTU9fHawd,-99,No Opinion / Uncertain
R_Di2z3r7jCHct1F7,the gradual loss of our basic rights and freedoms and the National Debt,"Government Leadership, Ethics & Accountability"
R_1cUGinAc5nVpdVd,covid,COVID-19 Pandemic Response & Preparedness
R_3JjW9P7OgyyIRwY,Life Affordability,"Economy, Jobs & Inflation"
R_2f3ugKUaWNZXHNb,Économie,"Economy, Jobs & Inflation"
