cps21_ResponseId,cps21_imp_iss,category
R_1CvIoiNbzRWSkUq,Diversity and inclusion,Immigration and Indigenous Relations
R_2uwUzmrnELKI4bQ,healthcare,Healthcare and Seniors Care
R_Y2XKRN1YDSVmgX7,Get rid of catch and release,Don't Know/Uncertain
R_3jdmo7zkgR4Fqd7,climate change and environmental issues,Climate Change and Environment
R_XMniyKSZMmXqMRX,améliorer la qualité de vie des canadiens,Don't Know/Uncertain
R_2uPahKuRlCZZn8Z,Budget,Taxes and Budget Management
R_2qBJQiSBZsOzSud,that we be led by elected officials that care for citizens not themselves,Government Accountability and Reform
R_w1adWDKONHJbTOx,Economic recovery,Economy and Jobs
R_1puQDU5ROEE4xuw,The economy,Economy and Jobs
R_3FRtgQbJCDJMr54,Économie,Economy and Jobs
R_3g2fEGk4z9BJebU,COVID-19,COVID-19 Response
R_1hBaeWcgo8eR2Vo,Affordability,Housing Affordability
R_3pfgTEbbklqdWsk,Lowering the deficit,Taxes and Budget Management
R_3dQAiJKKhgY0f6I,Healthcare,Healthcare and Seniors Care
R_2Veku0IW7Y1hPcm,National unity,Don't Know/Uncertain
R_3nix5oG9CWtpy1k,housing,Housing Affordability
R_2RUJ5CNcoItbQcI,Le contrôle de la dette pour les générations futures,Taxes and Budget Management
R_1iqG4qSn75pQHSN,Getting Trudeau out of office,Leadership (Trudeau)
R_ONzbFsmC6kEgsZX,THAT CERB DOES NOT NEED TO BE REPAID,COVID-19 Response
R_1CEJRHkhIoq52Eb,Environnement,Climate Change and Environment
R_1F8LnqyRXVFFuPC,Health care,Healthcare and Seniors Care
R_6x6Pz96UV0Svx9n,economy,Economy and Jobs
R_3lLYh1NY1XHD4wE,None,Don't Know/Uncertain
R_1QtQePsw0ZQgqw0,Taxes,Taxes and Budget Management
R_AHDWxti7N6MXbxv,Identité,Don't Know/Uncertain
R_27eE5PByKHRXWht,Environnement (climat),Climate Change and Environment
R_Yb2NJKwyNGMccaR,La situation Covid et sa gestion pan canadienne,COVID-19 Response
R_cTQ0KbrDJuIk6Gd,Discrimination against indigenous people,Immigration and Indigenous Relations
R_3qEVp5p6LZgnjd2,Our country’s financial future,Economy and Jobs
R_3EMZGttQ7oaoptk,Climate change,Climate Change and Environment
R_3HYMFPS9mnkrWS6,healthcare,Healthcare and Seniors Care
R_3fd6fpqBOGsNeHp,the health care system,Healthcare and Seniors Care
R_1IfLh0VGmcQdYsH,climate change,Climate Change and Environment
R_3Es7VlnQlsnNLTd,I don’t know,Don't Know/Uncertain
R_2qxd5gxZTUpBBKG,Dealing with the pandemic (COVID),COVID-19 Response
R_12xteUIHkmTqhwd,LA BONNE GESTION DE LA SANTÉ PUBLIQUE,Healthcare and Seniors Care
R_3KrrDY9SXEhsMw1,Who to vote for,Don't Know/Uncertain
R_3RqK18TSsQD9KOm,I don't know,Don't Know/Uncertain
R_XjKS5zHOP8UsKqd,Having a competent government,Government Accountability and Reform
R_1Kvd0CzRQe0d57G,transition énergétique,Climate Change and Environment
R_zbX6fAb2ggkde5H,Relance economique,Economy and Jobs
R_1lcbRVKN9YzfJV7,a plan to fight covid 19 and preparation for future pandemics,COVID-19 Response
R_3oHNFn9xCSKEdmy,Environment,Climate Change and Environment
R_bORLU4bybRYpbWx,Debt,Taxes and Budget Management
R_2txkZtF8TuEYPfo,How they will handle covid,COVID-19 Response
R_p5l28LDnOQUexKV,Covid19,COVID-19 Response
R_87HesT1wZJdJ8hH,Affordable housing,Housing Affordability
R_1LNJYAesEBCTq89,No comment,Don't Know/Uncertain
R_PGo6Tx2MPG3Q9WN,Getting rid of Justin Trudeau,Leadership (Trudeau)
R_3hDVoXZ0ZNGm85j,deficit,Taxes and Budget Management
R_1JPmoKTmWmIz6pk,Healthcare,Healthcare and Seniors Care
R_2ScuhJpzbqx3211,Economy,Economy and Jobs
R_RfQbp0sBe0sXXLX,Climate Change,Climate Change and Environment
R_3Oia7YS0SuFki59,L'environnement,Climate Change and Environment
R_cHkwX7o9l8y3o9r,Economy,Economy and Jobs
R_3DdnBXJFRqh8vfQ,La Pandemie,COVID-19 Response
R_tJPEqEsMGHxQ2MV,Se débarrasser de Trudeau,Leadership (Trudeau)
R_1NlCC9fkYlX16rp,Racism human rights environment,Climate Change and Environment
R_D8jZ4EVlkHWfiIV,COVID,COVID-19 Response
R_3gMLnF0BEa2HfxT,change,Don't Know/Uncertain
R_2duQRaxmttl8P3y,the climate crisis,Climate Change and Environment
R_1iaLWaUbFrWyi8n,Addressing climate change,Climate Change and Environment
R_2AHlfcGb8NrWLpk,Climate emergency,Climate Change and Environment
R_12Lo4UOesjisat8,Homelessness,Housing Affordability
R_3hxy7EcX5oybvWU,Économie,Economy and Jobs
R_DHqBSw3qZUl9acp,Keeping our democracy,Government Accountability and Reform
R_eWGTY1asaJCtO5r,Our country's debt!!!,Taxes and Budget Management
R_3L1lZaUkIpAPEgD,avoir un gouvernement qui saura gérer le pays et non son égo,Government Accountability and Reform
R_yVkc69xQCtqnXA5,covid19,COVID-19 Response
R_27O7foduPRwP4Yf,Reshaping Care for Older Adults,Healthcare and Seniors Care
R_3MhexIeOnoeqlUf,Environment,Climate Change and Environment
R_3nVoRo2VUla5ON7,climate change,Climate Change and Environment
R_1CI8Fxvh0exDDON,la santé,Healthcare and Seniors Care
R_3n94I5XEsWbevcC,La gestion de l'économie en temps de crise,Economy and Jobs
R_1QMCdQARFteCQx4,Overcoming covid,COVID-19 Response
R_10OEBmuK2Dhf7cR,La covid,COVID-19 Response
R_bPLfJvpKOX2eEx3,Housing affordability,Housing Affordability
R_1mjT4f33zeJNlHc,Urgence Sanitaire,COVID-19 Response
R_ZdvBtrFBGlhsAGB,CCB and support for the Middle Class,Taxes and Budget Management
R_4VAPWiLOEKpdNSN,-99,Don't Know/Uncertain
R_1ewSJahkAjmNGOJ,Climate change,Climate Change and Environment
R_32WQKUd5qWtyiRK,senior citizen supports,Healthcare and Seniors Care
R_1DqCtfGuEli68k8,National Defense Procurement,Foreign Policy
R_21ngbcXw3I3M69y,La santé,Healthcare and Seniors Care
R_da8aCGYxxL1kHip,-99,Don't Know/Uncertain
R_sogOfxLtZ6Xg7pn,Covid,COVID-19 Response
R_1gSJC7Lg6HffPss,La sante,Healthcare and Seniors Care
R_usuPbFQpyERXe7f,aucune idee,Don't Know/Uncertain
R_qFt5ZtX0FH3XPyN,Quality of Senior care facilities,Healthcare and Seniors Care
R_9z6tbrNPuXLpoOJ,More money for people on disabilty,Economy and Jobs
R_31LXnC5k3UrFAAG,Global warming,Climate Change and Environment
R_3JhnCpxicv947R8,Santé,Healthcare and Seniors Care
R_0vzvp6VvFOy8LGF,L’environnement,Climate Change and Environment
R_u8v5HhuOgaSI9PP,Healthcare,Healthcare and Seniors Care
R_2wKqjre77SwIzVg,Job security,Economy and Jobs
R_1C2cRLpvfCx2wvw,Covid,COVID-19 Response
R_3nOybctALR5bHhz,Government accountability,Government Accountability and Reform
R_2CfTSHBQaKzFZsd,Climate Change,Climate Change and Environment
R_WeTSHRDEO2tnCDf,Healthcare,Healthcare and Seniors Care
R_UA8v7nDugvrXNzX,Recovering economic,Economy and Jobs
R_3iW2nilHsibGmY1,Justin Trudeau's power grab,Leadership (Trudeau)
R_3GE2A7GEV3HuNXu,Law & Order,Government Accountability and Reform
R_O1hFW9y38rKG0bn,Économie,Economy and Jobs
R_bf4rNYsbzqSOcuJ,nothing,Don't Know/Uncertain
R_1QKS6NGmUIFjN7f,climate change,Climate Change and Environment
R_3rHPxL3NreDtSs3,Pandemic response,COVID-19 Response
R_3rZZmerS63iL4zL,SENIOR CARE,Healthcare and Seniors Care
R_2qn1QxbmabddJgz,Indigenous matters and affordable housing,Indigenous Relations
R_1KseQl36guwjGBH,Planet,Climate Change and Environment
R_ZlTYeUOYu0rnOKd,système de santé,Healthcare and Seniors Care
R_295k9MpaTlvJrCg,Housing affordability,Housing Affordability
R_z2QfjCJZS7kkZMt,Corruption,Government Accountability and Reform
R_PzcRycUNvZkadUt,Immigration,Immigration and Indigenous Relations
R_1rqZOgVld6Xdk7L,Immigration,Immigration and Indigenous Relations
R_2ZUpQaj2wNsaZYg,Le partage des compétences entre Quebec et Ottawa,Government Accountability and Reform
R_1g8sBpoNi0MHLek,Housing & climate change,Housing Affordability
R_3lSOsLuvGWCY5KG,Leadership lacking,Leadership
R_1kSUaKiSlxCIGFC,Healthcare,Healthcare and Seniors Care
R_31cm1j448SOaKZc,Economy recovery,Economy and Jobs
R_wO9Fcx6QpRp9Qjv,Economy,Economy and Jobs
R_A0eWcqsp1jhOlSF,Economy,Economy and Jobs
R_1pYUwMXKX0JxFuO,Dealing with COVID-19,COVID-19 Response
R_1py9s82lsEFhEKR,LES AUTOCHTONES,Immigration and Indigenous Relations
R_2UbEBrsj5SoGBpP,To make my vote count,Don't Know/Uncertain
R_1N8ELQQuVkGXuFn,Covid,COVID-19 Response
R_2eRPsRpk4zbgUS8,Climate change,Climate Change and Environment
R_1luhE15Xxw8V2mg,Protection de l”environnement,Climate Change and Environment
