cps21_ResponseId,cps21_imp_iss,category
R_DT3XqXdcXVdaepb,Seniors Care,Seniors Care
R_BEtXvsLw2aLw253,Health care,Healthcare
R_1BMnG3reYPDxyVj,Le déficit financier,Debt/Finance
R_3n63rguvTVfcsWA,Long term debt and how we are going to pay it back,Debt/Finance
R_cNjVz4ca7ztpak9,L'environnement les changements climatiques,Climate Change
R_31ckhbSSMegvtym,Senior care,Seniors Care
R_1hBbO9VBrHvnfQO,Healthcare,Healthcare
R_AMAdU6OTBrvUBKF,housing,Housing Affordability
R_T7nQydPf35i1utX,"non-antagonistic, non-imperialist foreign policy with other countries",Foreign Policy
R_3FOMEohqv1FG0aJ,Health care,Healthcare
R_qI2Ds9vckEpRSI9,La fin de la PCRE,COVID-19
R_AvUBPG5rVBYukSt,Covid,COVID-19
R_1CkLowLgbuhZOPv,The economy and jobs.,Economy/Jobs
R_Wd2twxmLyLNRpzb,Taxes,Debt/Finance
R_3soZ32XDDlGW1z7,Chercher un bon administrateur pour le pays.,Government/Leadership
R_1CHnVFpkEcpBSe2,Housing affordability,Housing Affordability
R_1f1LCHIvcfeQGqW,Election system,Political Reform
R_2XjuVkUPrbdCYVP,"Survey Feedback:  Please include a progress bar so participants can see their progress.  Please increase the reward for the survey if there is no progress bar to reflect the inconvenience.housing crisis, ending first past the post, first nations reconsiliation, climate change",Housing Affordability
R_24ufSjHEwcjRWRT,Les valeurs canadiennes,Social Issues/Values
R_ZxacPcweEPIuEGR,Covid 19 management & economic recovery,COVID-19
R_1CjywXvkPwhACdb,Climate change,Climate Change
R_1LcUUN0jH1YHu31,Canadian health system,Healthcare
R_eXrz2Wq9xBOeiul,Choisir le bon premier ministre,Government/Leadership
R_2saQS2vfv7I173M,deficit an debt,Debt/Finance
R_NWlZPJJVR1pDL33,housing availability and pricing,Housing Affordability
R_3lxGq08DH6PFdv0,Économie,Economy/Jobs
R_1Hc90MH2wrxnZkV,Healthcare,Healthcare
R_12MszYTHACpHm08,COVID-19,COVID-19
R_233OLiAXwJ4vvPE,Économie,Economy/Jobs
R_1MLguj00MH2eawo,Impôt,Economy/Jobs
R_5tG5eXKvrH3FIZP,The truth.  Enough BS already.,Social Issues/Values
R_1pJRMuvfQIm3Gq3,Covid Recovery,COVID-19
R_1d6S9M9WKJp9C9n,Getting Trudeau out,Government/Leadership
R_3HjYpA21wvVlqLD,Electoral reform,Political Reform
R_3CJJdtv6c0YoN4o,Having a leader that actually cares for their people and country,Government/Leadership
R_1Ff9LBXeCfiZjTb,Freedom rights,Social Issues/Values
R_11hzyC6EI3oeur1,Healthcare,Healthcare
R_2wv6BZPuSZwJxo8,Education,Education
R_1GHU3MjMpofSCkl,environment,Climate Change
R_1CvIoiNbzRWSkUq,Diversity and inclusion,Social Issues/Values
R_2uwUzmrnELKI4bQ,healthcare,Healthcare
R_Y2XKRN1YDSVmgX7,Get rid of catch and release,Immigration
R_3jdmo7zkgR4Fqd7,climate change and environmental issues,Climate Change
R_XMniyKSZMmXqMRX,améliorer la qualité de vie des canadiens,Cost of Living
R_2uPahKuRlCZZn8Z,Budget,Debt/Finance
R_2qBJQiSBZsOzSud,that we be led by elected officials that care for citizens not themselves,Government/Leadership
R_w1adWDKONHJbTOx,Economic recovery,Economy/Jobs
R_1puQDU5ROEE4xuw,The economy,Economy/Jobs
R_3FRtgQbJCDJMr54,Économie,Economy/Jobs
R_3g2fEGk4z9BJebU,COVID-19,COVID-19
R_1hBaeWcgo8eR2Vo,Affordability,Housing Affordability
R_3pfgTEbbklqdWsk,Lowering the deficit,Debt/Finance
R_3dQAiJKKhgY0f6I,Healthcare,Healthcare
R_2Veku0IW7Y1hPcm,National unity,Social Issues/Values
R_3nix5oG9CWtpy1k,housing,Housing Affordability
R_2RUJ5CNcoItbQcI,Le contrôle de la dette pour les générations futures,Debt/Finance
R_1iqG4qSn75pQHSN,Getting Trudeau out of office,Government/Leadership
R_ONzbFsmC6kEgsZX,THAT CERB DOES NOT NEED TO BE REPAID,Debt/Finance
R_1CEJRHkhIoq52Eb,Environnement,Climate Change
R_1F8LnqyRXVFFuPC,Health care,Healthcare
R_6x6Pz96UV0Svx9n,economy,Economy/Jobs
R_3lLYh1NY1XHD4wE,None,Don't Know/Uncertain
R_1QtQePsw0ZQgqw0,Taxes,Debt/Finance
R_AHDWxti7N6MXbxv,Identité,Social Issues/Values
R_27eE5PByKHRXWht,Environnement (climat),Climate Change
R_Yb2NJKwyNGMccaR,La situation Covid et sa gestion pan canadienne,COVID-19
