cps21_ResponseId,cps21_imp_iss
R_4IW8hWClOxY1S8h,health care as it relates to seniors
R_VJV0SxhanqA0vKh,Taxes
R_241yrIS8LBJZXk0,climate
R_1CHARQMbV5069ci,Covid 19
R_2bTxypmzp3cEaeK,Changements climatiques
R_23GiiAwv9mNvk09,Covid
R_73372sb6LYFDAOJ,Healthcare
R_21t7t6rawHRXW7X,Minority rights
R_2f3YJE3VwbJTIUy,Environnement
R_3F2kKzppPYAZMrv,Aucune idée
R_1Cp6Unq3dKWpIeO,Cost of living
R_2q8JnbBpm7moGk8,Environnment
R_TnKWPUUCj6ekbRL,COVID-19
R_1q8p0lkWm2Rcjsk,Absolute justice for all. No discrimination.
R_3QDafrl7TcppbjH,Getting COVID under control
R_3NP3gWx0QoDZA3Y,Economic diversification
R_2yfTGkcpwQIHUQl,health care
R_1gC6ObbXYErdnTZ,Health benefits
R_8qW5NCGFTS2FJCN,Leadership to see us through the pandemic
R_3HXo8PEWopACeu5,relation with China
R_2dm2POjICmsJZKf,the amount of infliuence by corporate and business interests
R_2zGQUlJtOi34cV6,Reducing taxes
R_31YNEavgOsDSsjz,High taxes
R_2VxVy0h48UiaNKk,Equal rights
R_246PXNrsJSyPzGk,Retour au vrai normal.
R_3hFUQBkSalcn1gV,Changement climatique
R_1Q6EWi79Rao8vfn,La pauvreté et les personnes handicapées.
R_2VPg6vKY1JKkjOF,EMPLOYMENT
R_1Dx3STsOX0DOsUQ,Protéger le nord Canadien et nos frontières
R_3IY4KPOCBq4K5kN,"getting rid the socilist and commuinst liberal government, very bad people"
R_ahDK6V2j49JKwlr,Getting trudeu out
R_CenWoM5fbY74psR,Changement climatique
R_1etywXFSuSvEsWy,Honesty
R_1mwVjpgainixKPa,Housing crisis
R_py4cYRcRFcO4dB7,Health care not getting any money
R_23UY8GLJ844LVNg,Wasteful Government Spending/Gettind Debt under control.
R_Rt8x3ro3V3eecXD,health care
R_Rnw0VkiugwHyfLP,Health Care
R_293RC6HnqM4XeA8,Finance
R_3MrpqwrvA7YzYCd,Id honestly say at the moment theres pretty much too much stuff too be listed
R_A4gAbhNy8J5HQOJ,Climate change
R_2v3bENgQV3DT9Dy,Taxes
R_3HNsmYuhZaTsQ4l,Climate
R_2PiiYwd07F59mqJ,The Economy
R_2TGeiEKDYH6e31f,PANDEMIC RECOVERY
R_3k6XARyYxWHPCMW,Recovery from the Pandemic
R_2c0KUDfhW8Uio2x,La santé
R_325XbsklIXLOqJe,Health care
R_2TGLGnSuoilK94E,Représentativité
R_1n7NxAVN52uddf6,Economy
R_1CgoVHpsI9xKxC7,Environnement
R_32Ja2bNPubKmZaM,dealing with Covid
R_1JXad4bddyTMzkW,Economics and health
R_2QXP112hTE0klVP,Economic Recovery
R_3PF6Z2sJkZjJRCj,Economy
R_WogQ7lnw9fYNx5v,"Making the distribution of wealth more equal and fair, and making the purchasing of homes affordable"
R_9WQozuVHL3PKvKN,Health Care
R_9oXQCyu3fm4lSz7,Covid 19
R_32L7Jfn41hluU0h,COVID-19
R_2BhQnBZRn8HsOcR,Pandemic
R_3L6HGyY928BC0qC,There are so many issues. The most important to me just now is employment and stimulating the economy.
R_3D7sgcPAlOD0DbK,Environnement
R_1Zwf5FjJSP1jYPf,Economy
R_3MEa4REzoOGbyPn,election in unnecessary
R_QnrcvQIKFNbyfLj,Haven’t figured it out
R_1l5EReGAs861BzQ,Economy
R_10xyQwcfB0RDkEJ,Health care
R_24BFJK99qAIJUbv,Honest representation and support for working peopme
R_1jq8lVsUPB78liu,L’environnement
R_2Qzyjunb0DZ0uZK,"upholding original canadian values, priciples and practices in Governments"
R_xbitbtzORYnO3rX,Sante
R_3samVfiJBfmHJYb,I want all the indigenous people to gain their respect and freedom and everyone to be treated equally
R_2TYvqEjsY8YyeuI,affordability
R_3oXXFH3SWHFrrHK,Affordable living getting Trudeau out of power
R_2YlFzPROBS7g3tN,Economic situation
R_37vnkBbNgQAN0E9,Le controle des dépenses
R_269g5lc4V5iQfCY,les droits fondamentaux
R_24P28uH3c7CfJxC,senior programs
R_3iXeMHH3iLQYmYO,Pensions is way to low for a living it should be adjusted.  For the rent it should have a regulation on how they raise the montly rent. If everything go up for anybody else  it go up for us to.
R_8HN9O4ydUW3ixNL,Cost of Living
R_1OoTHr6Ke1rF8GH,Employment
R_3FQYpSeahQkKKtP,Le réchauffement climatique
R_1r1DqAtHREbdTmE,ECONOMY DEVELOPMENT
R_2xCSbR7R97EA7F6,TAXES
R_3psTBsmISD3iY5I,Pandemic recovery
R_3CJk6eN6g11eWiw,Housing affordability
R_10Yu8rvtOG5zixP,Housing and income support for low income working people
R_1DZKaERx1TeMenJ,La Pandémie
R_2Byb0JsULOJPn4z,what they are prepared to do for all of us to get on with our lives
R_1QDVjVGs2JOnaJ2,Taxes and expensive cost of living
R_2B2wHIs1ybRpLzz,"Absolutely nothing, it really does not matter to me whatsoever..."
R_C7xOwrVzIYBFFIt,Poverty
R_22LAQiWN2420l4h,Climate change
R_yDALHB2Gi5sZPwJ,Climate change
R_QmkweGdyEUTcGbf,For everyone to be treated equally
R_2wHygoqCefnkTTl,l'environnement
R_Dq3jwEr2FemLof7,econmic recover
R_25t3lNMC9rUf9m0,Debt of the country
R_UsXv1pbZvmEHY3v,The pandemic
R_2wsIBBsZAOL82aS,Preventing the spread of the Coronavirus
R_zZOpnJm4LC77lol,environment
R_24C1ZOzyLSmVc6J,Majorité
R_3dWFso3EBXK6uN7,Affordability and equality
R_3QDxTxhbYmNWEVZ,"Free heathcare  - drugs, dental, therapy"
R_3PM1ugTI2yh08Jz,Sante
R_1NFC5kYpamJffmf,none
R_3IbYOrkDX5feVmW,Identity politics
R_1QiMg3Axh3KmcmQ,Seniors'  Health Care
R_20NWnO2YvGukVvy,covid
R_2E4yJbYFibwGVnL,the debt
R_3rSAWWNvSplF0Dn,equity to minorities
R_ukoRpbkv2afX8D7,Financial Help to all seniors
R_1jCCQOC7oceqKEy,Covid
R_1pVCReZiYqL1c0B,taxes
R_2qaz01iXXSbdyAL,Human Rights
R_1C6ElsKyGYNIhah,Healthcare
R_3M6Bppyex5ZY9fz,Covid
R_W38lYUNqwqyoclb,les soins de santé
R_07EguYkhx3qUELL,Getting through the pandemic
R_1FJmc8bpn27pzY7,Health care
R_1LSbFJjJbDwRIts,Immigration
R_32PeqqIOonxMg9p,Francophonie
R_WfgWOJbs3BiKuhb,stability
R_e4mPd8uGxaeiPdL,Jobs for graduates and financial assistance for seniors
R_BYqInbEpgzjbMfn,La santé
R_1FrdXqsdZjZ0jD7,Taxes to high
R_6DTUan5AGBXW7eN,Taxes
R_1nTlNkAhlHbG9Br,Student loans and grants like OSAP
R_Us9hu4YXH6IJyNP,Meilleur gestion du budget et relance économique
R_2zvB28prcSaGbUx,Economy
R_6M8OKY0Xy1FRVQJ,Economy and inflation
R_xsyacasuSEIfMEV,creating jobs
R_4PLE6wKh5E28pa1,climat
R_12bgBrh1Gkth4aR,Covid 19
R_2asN969x6OCMCMJ,Health
R_z83wVIUGPHsdtSN,Changements climatiques
R_Z8H0ySDWrwS1B3b,None
R_x9HeMvPugzH1xQd,economy
R_1Li15lwgts7Izh7,Cost of Living
R_eQCCcBYTkTIYQBH,L’environnement
R_DNOZD7kVMdaX7rz,Santé
R_2UW2jeWGkn8XSP3,Deficit & Spending
R_24AyvEMfq2shs1C,Santé
R_10ZpSsbMUuLkbKK,Deficit out of control
R_2wuaaH3QcLUJRxJ,Housing
R_2doo6UFxKaaQUGF,La gestion de la COVID
R_3CUHEfIF89V08hO,Environnement
R_2WCfOpezYUAMXBt,climate change and cost of living
R_OuQfngW73RoXqMx,climate
R_43q4qWeKKbUA8fL,Poverty
R_2dT7MQrfwjxXpbb,santé  et éducation
R_zUWNmjwZnMrIDGp,Covid and nurse shortage
R_2fIoUbyQnSLHWaG,Covid
R_rrOBd8ooNlOUR2x,Covid
R_3Hq5sD0ugbAdcEp,climate change
R_2vbPjvQYojOTjwi,Health care
R_3p535u7EqwrwWQb,Cost of living
R_3QQt7RP4lLjaHjB,No mandatory vaccine
R_1giR7eR4YtJ0v6f,Taxes and immigration
R_UsD2d1OjoFnU0P7,Aucune idée
R_3L6XBKfGv1OF7xW,Ethics
R_1onW7xCnV2JYwaB,economie
R_vBUCQk6UCXuNrax,la pandémie et l'après pandémie
R_NW1fewx52lAGJyN,Education
R_1q8jZPlwQgRCYWY,COVID-19
R_r6chA3MijSZqmBz,Service à la population
R_2RNZXgTj3EsUtEt,Election promises not kept
R_yDr3u9P1kBApV97,Income Support
R_2OJdYrVa6EIhVv8,getting through the pandemic and being able to resume a normal life
R_2R1xfLGKBXGKHKB,healthcare
R_8pugquzf9mXLs3f,"HEALTH AND SAFETY, HOUSING, COVID"
R_3Oi7gs4pakR5jrs,"L'environnement, arrêter les projets pétroliers"
R_1QECTmQ4CIXX2nw,COVID-19 RECOVERY
R_1NaWyAuPgLR4jai,Finances
R_tRpvwVFydb0lZSN,Economy
R_278X5CVBGGMY9bl,"Rights of Seniors, support them, they need more help."
R_2Cv9J83vpRXlmts,Economy
R_emulVr9Q0vP34Wt,Environnement
R_ROAXnNz4mqNpYgp,HEALTH CARE
R_OIOBX5T2KmI7GPD,Forced Injections
R_1jwdBvvtjkFM5Fi,Economics—everything from personal taxation to inflation to trade policies
R_1gSci7Fp3pGvF6d,Covid-19
R_3gX9N6WKATZ3IvR,Child care
R_V3xKFpoWgU5VkeR,Pourquoi avoir déclenché des élections
R_NWNuvYZFsr80j6h,Transfer to provinces and COVID
R_1F3tqSIhZ42XH6I,Stopping immigration
R_OjUrdDXdKxfXysF,Affordable housing for our young workers
R_2BmQj2DSvj9nHAn,cost of living
R_XSOvMFM46dujRTz,Empêcher un gouvernement conservateur majoritaire
R_wRlmZeSVPxaXB85,Environnement
R_rrvYCc6i9S8VGHD,La pandemie
R_3jUUMVexHn2ZrVr,Services for seniors
R_TuxLSq31H4GbcKl,ÉCONOMIE
R_1oiHgr4GhA5SpZx,Covid shutdowns and vaccine passports
R_3EzBto5rJQvCTDi,Housing for first time home owners
R_12hiKsta4tSVHkT,CESSER LES DÉPENSES EXCESSIVES DE TRUDEAU COMME LA PCU
R_3Jz8Pvv8r4myt69,Environnement
R_2dhZ8Caqks4K74S,Covid restrictions
R_1HhQuM56hzTE7sX,Education and Healthcare
R_1QynDTNIpdsATZ2,Economy
R_3HwcokRWQ2phL11,Someone different to be prime minister
R_XsQGVK4ZToLIUQF,Healthcare
R_2rl1DKmTaej5Up9,Transparency on covid
R_r2uGZ5Z69HD0Om5,budget dificit
R_2DUFT1hCdl1Kz7k,Housing
R_1EY7982Z6lTxT8U,Pandemic recovery
R_3GfHhL5Zv8qh7z7,"Health, education and economy"
R_PRlp0ZHAmjdL4kh,House prices
R_3Pnnea8wrhZL3gO,Not sure
R_2CvRcjMRcT540KO,"to get rid of Trudeau,ie the commmunist!!!!"
R_2AXp9kwD3qiRZCr,Climate change
R_1fdgpdE4c5TL0ZO,economy/being able to work
R_6yC8Yvj9XKpH8zv,health care
R_124gAhSZDE2vcQV,Qfarmer geowth
R_puQNwoseLrryYqR,Covid
R_10PiROy1piNJi6W,Climate
R_1diVNXLea9b1MXc,indigious issue
R_9zvlqJZj0N4yBdD,Integrity
R_1jBvpnxGZZXLFd9,covid
R_2Y4KiD2AMLJkgHs,environnement
R_2dzpQbhRoWSN6It,Environnement
R_30hHf3J1NsBkaSA,L'économie du pays
R_3g7w6QF8C8YcrS9,continuous low wages
R_1Fs1U3yxQfMtni9,environnement
R_BK4NWNltzxZ1x05,"affordable housing, living wages"
R_1d18lkkZVD35y2G,RIEN
R_UZ5d4OY3pmhfC5b,La dette fédérale
R_2TuXEQRYWow9kVz,The budget
R_6qUK0Byg7max5rX,Gestion de la crise sanitaire et l'économie
R_3NDTo8vgQU3RPOy,controlling covid so the country can grow and unify
R_1fcQSd9hrBHm7ja,L'environnement
R_PM6p5BSgfMb6UGB,Economy
R_puZPO4f51Ke3Vbr,finance et climat
R_3n355IHhep678GJ,blanchard
R_1KiQB5McCvbf3sU,Holding onto our Democracy.
R_3HCEXBzdkc4bxnN,Health care
R_3D7IYQlglMvsipS,QUON GARDE CE QUE ON A DEJA DACQUIS AVORTEMENT EMPLOIE LA NATURE ECT...
R_2l7PdVLpQLCGl5T,climate change
R_1rHxSNT7pFPinOs,Vaccine freedom choice
R_AjPFRoXcD3yjBZL,economic recovery
R_3L7KGuVKATSdzrh,Unsure
R_3KZ7PJMsdSYIGRz,Enforcement of vaccines- attack on liberty
R_prDRzBsvQ4jOMFz,Abortion (Pro-life)
R_1QKLpKSBVQPKK03,ECONOMY
R_1KxPAuoam5PKs4L,Economie
R_tWf9aEbL6nz26cN,COVID measures
R_2wLIVyT5PPFk8RT,La santé
R_x5zUJ2YwNJqTh2F,économie
R_2ZEytX6M8vHjxKK,L’environnement et les changements climatiques
R_py2iizxxvvakcAF,economic recovery
R_31pg6RiR7HWoLFE,health care
R_12xmDv0JeItGhHK,L'environnement
R_AzILBflhn6XxoVr,HOUSING
R_vlABzk3m62XZB7z,Égalité
R_Do5DvhhbDf17bxf,Les soins de sante pour les aines
R_WeZn6FwK2NF9jep,Environnement et gestion de la pandémie
R_2cnESYbCflOBNkf,Convid and economical recovery
R_2uprETr9ocL6zRK,Child care
R_r6FkfKn7IokRHMd,crime - against people of different faiths and crime in general
R_1C78Oth0IS3lf8y,Hospitals
R_ukagx4bR6OF5yfv,Taxes
R_OcEMWj2COmmI2rv,Safety
R_1LGU12y5bTgiexF,Cost of living
R_tRR4UtAgpg8WtkR,"To vote someone in that will help get us through this pandemic, put more restrictions on and keep them on as being wishy washy with the restrictions putting them on taking them off is not helping getting a handle on the issue even if it puts a hold on the economy for the moment in the long run I think it will help us get through this. . n"
R_xlWfk1JIC4lEs3T,Economy
R_3R4SUPegzcChoVX,Covid
R_3262EBo5TwxT4qy,Environnement
R_vAFeRH4FyMUAeIN,Health care
R_e2P4sJDFElXn91T,Tout
R_1P19XJrsUOeqgCs,Trudeau's attitde
R_s53plgqnwjQrFhD,The Economy
R_1ff828osm2r14at,Environment
R_2Ybu4sTvLRF7LL0,Implementing higher nursing home standards
R_bQTctEHexLImPdf,iNCOME
R_3LhvO0PFccRYuHL,Place en garderie
R_W1EE7C9ypIxfMKR,getting the country back under control
R_son1lvlEKpzkZr3,climate change
R_T1tD5Yxa1Kk04M1,Economy
R_RsDeHGJkRpRiAkF,Fiscal credibility
R_3kAOPZSZUjJIN9N,Equality
R_1irpOI8euRYo9n4,Economy
R_1mh3S5pVuEwj7uB,Mental health
R_b7sQc6N1lCcrVnj,climate change
R_3kieVULcXdSlKFk,Deficit
R_3g7v8WmsBxft8FG,Affordable childcare
R_3MKCYmm1c2SzhTO,Covid
R_wNuSg0hLpOndYkx,"rétablir l'harmonie dans tous les secteurs (éducation, santé, vieillesse) retrouver un équilibre"
R_2rYPbjIh0KOmaZW,Covid - making sure we get through it without ruining our health care system
R_31c2qPT8AbbMWn6,Le manque de travailleur dans le domaine de la santé
R_2xRckohwxuvBdYy,economy
R_3KNndqI8d37Jic6,Climate change.
R_0P1MjthSzTxLqDv,Education
R_2tfHr2AX0g1U1BX,"Inequality of resources, the top 1% owning over 90% of the wealth"
R_2afdJIjF8WF8J18,CLIMATE CHANGE
R_UQsEc0zU8EtMCiJ,Healthcare
R_2OZP8RVekKhqd9z,Covid 19
R_XoBeMbhusbTA6Tn,La covit
R_1gLn1M5ZPbp10z2,Environnement
R_2qyoKMgDewxnov5,Freedom of right
R_3lWIeIIfjLEG9bj,Poverty in our Senior Population
R_Rt6n3z7ZoBx9ezn,Economie
R_yEh754PoRXbKFnr,Coronavirus
R_DoEyNL5P0L1n3H3,"affordable housing, low income housing, subsidized housing  or lack there of"
R_25tH2CyvQbllwDP,environnement
R_2qy2upFThLpbZw0,Health care
R_1GDBLaVZTfhk4es,Economic Recovery
R_2wQCsj4Im3mOnab,Environment
R_2CdjgqDjquuwV2q,Reducing the debt
R_3MF3J7fdpRj8sXi,-99
R_3CQtz2OjaWIZEmL,Le respect des compétences provinciales
R_XTzCSHJyC1zfp85,Energy
R_Til2cPaAD4r19Pb,Environment
R_1NqtpuN0yUrMugL,Family issues
R_3Hk8lpV9yH8dHRL,Climat
R_2BmMjjD7GIkRomV,Income for Seniors
R_3HYypgYQW5mYaS6,Healthcare
R_Q4fWKyzTJkwaukN,Economy
R_A1IGQD7shDBqnhn,covid
R_1o7pWGPrD521Lvf,Cost of living
R_29upb4QcYZkY5fR,Family Benefits
R_2do16ODQvw7A7YV,senior's benefits
R_0p9mB7e1sq0vow9,jobs
R_3r0vsxW33czTcN2,"La COVID, l'économie, l'immigration"
R_1gGYtGYNhJL6ZbZ,Climate Change and Racism
R_1F5kZVcAAMAV0Qm,Inflation
R_XLNMQd06OOQsimR,Soins de santé
R_Dv3f2sAIZdEBCAF,Covid-19
R_umMvJ30YXHsiI93,Relance éconmique
R_2fqdRsHGHbrk5xF,Trudeau must go. He is ruining Canada.
R_110Yj6P7jMwAIKh,health care
R_1jlFMdStsANW5C2,Environnement
R_2rAHVjfytluR8uR,Je ne sais pas
R_1LYjE5qa28HiCCS,Healthcare
R_3JIvtGxwQnhYPTI,Economy
R_1MRuy080aYVq9tj,Employment
R_SSMC3lalj8eY4tr,Le français
R_3ixImN2Hy2MX0al,Déficit fédéral
R_3g10EDKe7snMOKr,L'économie
R_3hmYuWj4ejTDRsq,healthcare
R_2dmtZ0sncrnVf4q,L'environnement / la crise climatique
R_1mfVqzUpKRxpTAs,L’environnement
R_3KYLNOF7UHdpeko,Electing someone non-fanatical
R_1rknIJU0edi4c5q,New universal child care subsidy
R_1Q9t5y7KBagso7K,Climet chang
