cps21_ResponseId,cps21_imp_iss,Q_Language,cps21_imp_iss_tr
R_07ldUhjGDHC7sLn,deficit,EN,deficit
R_087JA47HBDNNhUR,,EN,
R_087yrSRoNV4l76F,There are too many to just pick one,EN,There are too many to just pick one
R_08LrRm2fLZjO1Oh,Environment/Climate Change,EN,Environment/Climate Change
R_08O0qnVf4oEQqYx,this election should never have been call and hope the drama queen goes down,EN,this election should never have been call and hope the drama queen goes down
R_08R0qzUO21YKIkV,Clean water for all Canadians,EN,Clean water for all Canadians
R_08SP4Q9jlBObUI1,Aider les aînés intelligemment,FR-CA,Helping Elders Smartly
R_08UvjRS2iZMnqVj,santé,FR-CA,health
R_08k3PgyPcWu0Xe1,indigenous services and reconciliation,EN,indigenous services and reconciliation
R_08k3ROLKmoxY0QF,"the one that no one is talking about, representational voting.",EN,"the one that no one is talking about, representational voting."
R_08mrgzWlgQ4O3Id,Housing Market,EN,Housing Market
R_08qPeH7SL9e2qDD,The economy,EN,The economy
R_08ujSrAsNIZiaSR,"Social services, indigenous issues, environment",EN,"Social services, indigenous issues, environment"
R_095O8fBzS1DzqMN,Climate change,EN,Climate change
R_09c8fISk4Lv695T,"J'hésite entre l'environnement, la justice sociale et l'éthique animale.",FR-CA,"I hesitate between the environment, social justice and animal ethics."
R_09rXQk52uSgZ6XT,Healthcare,EN,Healthcare
R_0AFnaOMcKBDewp3,Nothing particular,EN,Nothing particular
R_0AIpA4DcWFeXhUR,Benefiting everyone,EN,Benefiting everyone
R_0ALvnMGbX1Kip2x,Education,EN,Education
R_0ANj2kzaVvvdHAB,Healthcare,EN,Healthcare
R_0AmkcYwVP4YAs2B,INTEGRITY,EN,INTEGRITY
R_0AqLp53Yg9TuNCp,Health care,EN,Health care
R_0B2YkxEDFD4OTBf,Climate change policy,EN,Climate change policy
R_0B5JUknG3j5EVxv,education,EN,education
R_0B8zKsZ25TOpv9f,"I'm not going to vote for Trudeau. My concern is the taxes, covid and climate change",EN,"I'm not going to vote for Trudeau. My concern is the taxes, covid and climate change"
R_0B9icoSNOlCcBXP,housing price,EN,housing price
R_0BMkc6uGy7cR8iZ,Covid-19,EN,Covid-19
R_0BNTMGVRLjKpJbr,COVID-19,EN,COVID-19
R_0BPzCOfSFPwOxnb,Indigenous reconciliation,EN,Indigenous reconciliation
R_0BTtu8U4z6BSHlf,Trudeau and his move left: banning freedom of speech and lack of understanding of monetary policy and its impact on the economy. Immigration policy to broad - should have a merit system so we get people that will contribute to the economy and not be permanent leeches. Care more about disadvantaged Canadians and less about so called refugees who's cultures are not in sinc with ours Climate change  agenda and Paris CC costing us too much..,EN,Trudeau and his move left: banning freedom of speech and lack of understanding of monetary policy and its impact on the economy. Immigration policy to broad - should have a merit system so we get people that will contribute to the economy and not be permanent leeches. Care more about disadvantaged Canadians and less about so called refugees who's cultures are not in sinc with ours Climate change  agenda and Paris CC costing us too much..
R_0BajjZqGnQpkV1v,Gestion de la crise sanitaire,FR-CA,Management of the health crisis
R_0BbvDySkiunVQtP,Healthcare,EN,Healthcare
R_0CGpZa6LUMAY95T,economy,EN,economy
R_0CHm41GDiPnexGx,"They Should All Stop Telling Lies & Do What They Say Their Going To,But Their Not GoingTo Do Anything Look At Trudeau A Liar & Can't Be Trusted.",EN,"They Should All Stop Telling Lies & Do What They Say Their Going To,But Their Not GoingTo Do Anything Look At Trudeau A Liar & Can't Be Trusted."
R_0CaTcbRqA52shax,The economy,EN,The economy
R_0CbojLDA41IODbr,Health care,EN,Health care
R_0CfHARbZsJ5XxiV,healthcare,EN,healthcare
R_0Ch5zV2V0E5HcQN,Environnement,FR-CA,Environment
R_0ClJXI3MQP1V4it,Taxes,EN,Taxes
R_0Cldot7u70OddrX,Senior drug costs,EN,Senior drug costs
R_0D3dArC2W4RY0Bb,the parties working together for the betterment of Canadians,EN,the parties working together for the betterment of Canadians
R_0DJQibh2enU6EZr,l'environnement,FR-CA,Environment
R_0DMLY39AJ8LWBmF,Homelessness issues,EN,Homelessness issues
R_0DmHJJmo8H8jMSl,Economy,EN,Economy
R_0DmjxfCFmKbHnah,Jobs,EN,Jobs
R_0GMGzZSv0NKR4Ah,increasing government control over our lives,EN,increasing government control over our lives
R_0GPzjfZYVji7zJT,debt,EN,debt
R_0GSCYMxmIwP9bdT,Fin de la PCU le plus tôt possible et aussi l'environnement.,FR-CA,End of the PCU as soon as possible and also the environment.
R_0GqvCOqjzntCzkd,Reconciliation with Indigenous peoples,EN,Reconciliation with Indigenous peoples
R_0HAHlS51nD0SXfP,Economy,EN,Economy
R_0If1MFGyN5poD9T,giving seniors a better pension,EN,giving seniors a better pension
R_0IhlEnlivJ4nkXL,Leadership,EN,Leadership
R_0Imxbg7yDeK8H4J,Climate changes,EN,Climate changes
R_0ImxrJefn7Jhpmh,affordable housing,EN,affordable housing
R_0JJlmEcJvR6HCpz,Les droits humains,FR-CA,Human rights
R_0JPWK0MIWunWw2l,Public health (covid19).,EN,Public health (covid19).
R_0JVMoLM9aIMg5dT,"santé, environnement, économie",FR-CA,"health, environment, economy"
R_0Jp3CvrSnHYryHT,Bad Timing for an election and incredibly expensive.,EN,Bad Timing for an election and incredibly expensive.
R_0Jp7t0iur4kxgbf,Individual rights,EN,Individual rights
R_0JtjIHoh4di5s8V,Free prescriptions,EN,Free prescriptions
R_0Jts0ct68oZFffb,covid,FR-CA,covid
R_0Jy5Ovv66fS7KsF,health care,EN,health care
R_0MPtQ9c4pQNA9Yl,Tax the rich,EN,Tax the rich
R_0MQAISLu28uN2r7,"The West is consistently overlooked, and Quebec, has too much say.  And gets too much $$ from the West",EN,"The West is consistently overlooked, and Quebec, has too much say.  And gets too much $$ from the West"
R_0MQJLzA3A4FoAgN,The unrestrained spending is quite worrisome.,EN,The unrestrained spending is quite worrisome.
R_0MQU8eze9bGwpmV,COVID 19,EN,COVID 19
R_0Mq7WaBK96t7RTP,federal debt,EN,federal debt
R_0MqeSVVybeBmJl7,Freedom of speech,EN,Freedom of speech
R_0Mt1S6qP49U1ohr,Economy,EN,Economy
R_0NA1qZGrVdSoYA9,Dépense publique en temps de covid,FR-CA,Public expenditure in covid time
R_0NAeZNXm3jZG6Pv,Revitalizing the economy post pandemic.,EN,Revitalizing the economy post pandemic.
R_0NDAIysZfBL4OC5,ecomomy for middleclass people,EN,ecomomy for middleclass people
R_0NDe1deHjvYCwsV,L'ÉCONOMIE,FR-CA,ECONOMY
R_0NG3d6Uawy5UZG1,University tuition,EN,University tuition
R_0Nb3niHKhFZmekx,not sure,EN,not sure
R_0Nb9tk1UgQLqUgh,How Covid 19 is handled,EN,How Covid 19 is handled
R_0NeErrsbuW2yYQp,china issues,EN,china issues
R_0Nu1bb4xuJxiky5,SANTÉ,FR-CA,HEALTH
R_0O2cJwRDo7878uB,not sure,EN,not sure
R_0O4LV5In90pNFgB,Better government for the people,EN,Better government for the people
R_0OGOGV1dE3Aafh7,Covid-19,EN,Covid-19
R_0OI6WpR9qLoJKXT,"the handling of the COVID crisis.... Mandating Vaccination, getting COVID under control",EN,"the handling of the COVID crisis.... Mandating Vaccination, getting COVID under control"
R_0OPDlKaTex6kA5b,Assurer un meilleur avenir,FR-CA,Ensuring a better future
R_0OPUlr65a9XhnRT,La culture et art,FR-CA,Culture and art
R_0P1MjthSzTxLqDv,Education,EN,Education
R_0PAZiulK6ISQ4eZ,COVID Management,EN,COVID Management
R_0PMkjF66AnxrhbH,Resolving the Deficit,EN,Resolving the Deficit
R_0PPJWMtvFb6MewV,Économie,FR-CA,Economy
R_0PbPEllnVOMkLfP,,EN,
R_0Py4DT9nZkO2E6d,Changement climatique,FR-CA,Climate change
R_0PzaDxIT3pHGp2h,...,FR-CA,...
R_0SNYrcOEZIV7ErL,gun control,EN,gun control
R_0SS6bswRLKXJTAl,Economy,EN,Economy
R_0STOxLQFigBcysN,Cost of living,EN,Cost of living
R_0SXXvwtloW0x68N,Covid-19,EN,Covid-19
R_0SrRhxnvmMQETrb,qu'regle le déficite en partie pour commencer et monté la pension Fédéral pour personnes de 65 ans et plus.,FR-CA,Regulates the deficit in part to start and raise the federal pension for persons aged 65 and over.
R_0Sz2c9hQaUxK4OB,Gestion des armes a feu,FR-CA,Firearms management
R_0Szb0lMjwdISQQp,Covid-19,EN,Covid-19
R_0TICKp83rj4m43T,cost of living/inflation,EN,cost of living/inflation
R_0TKDCzNx1IiWabf,less pretending and get job done,EN,less pretending and get job done
R_0TXTkJTV89lZZMl,Helping Canadians get through this pandemic and get to our new normal,EN,Helping Canadians get through this pandemic and get to our new normal
R_0TdQAklnxx6lzmV,To much promisses,EN,To much promisses
R_0TibgLrvHQ7oCuB,Health care,EN,Health care
R_0TjCXc0pGW0GYtb,Keeping the far right out of Govt,EN,Keeping the far right out of Govt
R_0TkZ1gDlyWHMkhj,Changement climatique (protection de l’environnement),FR-CA,Climate change (environmental protection)
R_0U4TvHmLlUYbm81,Système de santé,FR-CA,Health system
R_0U66vu0nciqXR6x,Housing,EN,Housing
R_0U7Q441TH5hd9Bf,employment,EN,employment
R_0U89oAPKZhjRJgR,Environnement,FR-CA,Environment
R_0UIE4naLwPnmi1b,DNK,EN,DNK
R_0USO4IHBUCRcgHn,Taxes,EN,Taxes
R_0UhKeOBQwodTzUZ,economy,EN,economy
R_0VOMzY9cELjNLwJ,Sound Economic Planning,EN,Sound Economic Planning
R_0VShg4aSpoeEcTf,sante et eduation,FR-CA,health and education
R_0VTTPLv1v7U3929,economy,EN,economy
R_0VWzvZIni7mABDb,Financial sanity of the government,EN,Financial sanity of the government
R_0Varie1eJ3lyPHr,Economy,EN,Economy
R_0Vd0p2HbqcU3RzX,Plans to mitigate homelessness,EN,Plans to mitigate homelessness
R_0Vz1BSy1NmSQRZn,La santé,FR-CA,Health
R_0cAbNYGsxnmsyt3,Covid,FR-CA,Covid
R_0cAtUv26URy0CGJ,Covid,EN,Covid
R_0cDhwqTXM7C8TbH,Apres-pandemie,FR-CA,Post-pandemiary
R_0cWZBgabZFjvsd3,No choice,EN,No choice
R_0cZkLlVDqrfVYUF,Debt,EN,Debt
R_0cadGOi1qyZ7QpX,covid vaccinations,EN,covid vaccinations
R_0cw9NrW5a6ZDwgV,Affordability,EN,Affordability
R_0d3EVdCIk63SYw1,Gun restrictions,EN,Gun restrictions
R_0diR6RGexFbSe0p,Getting Trudeau OUT,EN,Getting Trudeau OUT
R_0e0i66JlcE5FiYp,stop taxing everything,EN,stop taxing everything
R_0eqlyUxzQxqsE6Z,Personal medical freedom,EN,Personal medical freedom
R_0ezfzLXsulx8Q3T,Economy,FR-CA,Economy
R_0f9JAPFZxajbBHr,la sante et l’education,FR-CA,Health and education
R_0fGp8sByiSU8ddn,taxes,EN,taxes
R_0fbPHcFHNRfckCZ,Health care,EN,Health care
R_0fuiMnZB6Kr5luh,debt on all levels from personal to federal,EN,debt on all levels from personal to federal
R_0fupzLuERlcH9lL,COVID-19,EN,COVID-19
R_0iA5zk0ZtLV7rIB,contrôle des armes à feu,FR-CA,control of firearms
R_0iA9qwvVAP6T1vz,Taxing the 1%,EN,Taxing the 1%
R_0iAyf11kd0DaYFP,pandemic recovery,EN,pandemic recovery
R_0iBrgvhRFP0Qy8V,employment,EN,employment
R_0iJngJ324vZGgDv,National debt,EN,National debt
R_0iTbUsGmUwnG1SV,santé,FR-CA,health
R_0igcimawBHqXvdD,everything,EN,everything
R_0jIfVPQR0ieHMkh,COVID-19,EN,COVID-19
R_0jheAzpphDAmnQd,"Ensuring peace of mind for all Canadians, that there are adequate health care services provided, and adequate funding/resources for businesses.",EN,"Ensuring peace of mind for all Canadians, that there are adequate health care services provided, and adequate funding/resources for businesses."
R_0joua4uQ3XgK1Db,Climate change,EN,Climate change
R_0k4otYmIDeACdBT,taxes,EN,taxes
R_0k7RpF8yeD6BZUl,l'environnement,FR-CA,Environment
R_0kPMg3y06WuKf6h,Home and childcare prices going down,EN,Home and childcare prices going down
R_0kU95Crl1NRUXm1,économie,FR-CA,economy
R_0kVkelIYjVKDkIN,L’économie,FR-CA,Economy
R_0ksgHwXPQTQdbQR,Longterm Care,EN,Longterm Care
R_0kxZT02kf5QtTl7,Covid plan,EN,Covid plan
R_0lFJ8ADXjRIwMSZ,Covd-19,EN,Covd-19
R_0lcEjdbAgMGzSRX,Économie,FR-CA,Economy
R_0oBfSihcMFl7iSt,Housing costs,EN,Housing costs
R_0oGlANRmN8ULKXD,Prendre soins des aines,FR-CA,Take care of the babies
R_0oVOMWCAeHbz173,Covid,FR-CA,Covid
R_0p4Le02t7W4wfkt,Honesty,EN,Honesty
R_0p9mB7e1sq0vow9,jobs,EN,jobs
R_0pLFT8WoigoKFlD,Economy / debt,EN,Economy / debt
R_0pMHipP1DGF33Vv,I don’t know,EN,I don’t know
R_0pPZnGvgqXhbGAV,health care,EN,health care
R_0pUcOUQuss58bnz,"The amateur way that the Liberal government deals with the budget, foreign affairs, immigration and many other issues.",EN,"The amateur way that the Liberal government deals with the budget, foreign affairs, immigration and many other issues."
R_0pm5lueJwxhgL7j,Environnement,FR-CA,Environment
R_0pvjG5E7sch5d1n,Issues related to Seniors including long term care and the need to place this matter under health and not private enterprise,EN,Issues related to Seniors including long term care and the need to place this matter under health and not private enterprise
R_0q4mUE3EHcz7d4d,covid,EN,covid
R_0q8DJ1SmwYL3qMh,pandémie,FR-CA,pandemic
R_0qF0WyBBXQcFFHH,covid 19,EN,covid 19
R_0qSaYnLD6fNLYs1,Getting out of the pandemic,EN,Getting out of the pandemic
R_0qbALWF00G9hohH,"honesty from politicians, and accountability",EN,"honesty from politicians, and accountability"
R_0qdcZFqOqbITnwJ,COVID,EN,COVID
R_0qtzE07XYvesYEN,Climate Change,EN,Climate Change
R_0rETr4mQSjEWVnH,Ameliorer la situation de la classe moyenne,FR-CA,Improving the situation of the middle class
R_0rGdZ8m0yqF9mPT,Pandemic,EN,Pandemic
R_0uCJmJ8H5Nk4dep,the economy,EN,the economy
R_0uE2Eu0VKTXeLOV,Housing affordability,EN,Housing affordability
R_0ufROPg2gaqEUqB,cost of living for the middle/lower class,EN,cost of living for the middle/lower class
R_0ujI873YWafWyLD,Finances,FR-CA,Finance
R_0un6v7j7bdUXBHH,La santé,FR-CA,Health
R_0v2UKFUw0qhl5pD,Pharmacare,EN,Pharmacare
R_0v62WKncttu8sA9,-99,EN,-99
R_0vTWYZkEJL4dYyd,Climate change,EN,Climate change
R_0vqq1p47YrYshK9,Climate change,EN,Climate change
R_0vwtJCJcxB9Hju9,COVID-19,EN,COVID-19
R_0vzecSzCbrSqZvb,The federal debt,EN,The federal debt
R_0vzvp6VvFOy8LGF,L’environnement,FR-CA,Environment
R_0w6XLNwvOha4NX3,La transparence,FR-CA,Transparency
R_0w9TlxSIQHESrn3,Environnement et covid19,FR-CA,Environment and covid19
R_0wS5VnQRfeWzsFb,Climate Change,EN,Climate Change
R_0wbOaxs5J9duvHb,getting the debt/deficit under control,EN,getting the debt/deficit under control
R_0wfGnMHidcaEt3z,L'économie,FR-CA,The economy
R_0x3CZqPnvzTBn7X,"La pandémie, l'ecologie",FR-CA,"Pandemic, Ecology"
R_0xDVF9G5HQl3Qrv,I don’t have an opinion,EN,I don’t have an opinion
R_0xFA9x2vYfB1HIR,Pension Incomes & Affordable rental housing,EN,Pension Incomes & Affordable rental housing
R_0xFAu7sQGuycGhH,"La limitation de l''ingérance fédérale dans les champs de compétences provinciales, surtout en santé.",FR-CA,"Limiting federal ingestance in provincial jurisdictions, especially in health."
R_0xQ0q4SXAC5uvfP,economy stability through and after the pandemic,EN,economy stability through and after the pandemic
R_0xQokLUG8bMrlKN,covid,EN,covid
R_0xnW2PonzkooeMp,INFRASTRUCTURE,EN,INFRASTRUCTURE
R_10AVE10jymgA09z,Jobs,EN,Jobs
R_10AW015j9MsGoLZ,Les finances,FR-CA,Finance
R_10AcmxCpCUSm0Wo,Getting a new prime minister,EN,Getting a new prime minister
R_10AjWx9s9XgiRnT,L économie,FR-CA,Economy
R_10AulMzRKj8PxzR,Budget,FR-CA,Budget
R_10B2G7qg9egIp2L,Environnement,FR-CA,Environment
R_10B46qs7fGOQ42a,Child care,EN,Child care
R_10BDyzlXWQq5JhP,L aventure dees enfants,FR-CA,The adventure of children
R_10Bqwsg3irIy5HD,jobs,EN,jobs
R_10Bscd3pg8sZeYe,Fiscal accountability,EN,Fiscal accountability
R_10C6IrRdfStQzYo,Covid,EN,Covid
R_10C9xHCNhPWJByp,Health care,EN,Health care
R_10CK89msAWgyUxk,Liberals,EN,Liberals
R_10CNrXfg0TUrOdT,Healthcare,EN,Healthcare
R_10CbjdvHv8ajxk7,covid,EN,covid
R_10CddUHLyyXtuyR,Get rid of Trudeau,EN,Get rid of Trudeau
R_10CqnBpp9TmQZh9,Economie,FR-CA,Economy
R_10CvX2oSojtfNZV,sdfvFX,EN,sdfvFX
R_10D9FAyCAF9vpdZ,Health care,EN,Health care
R_10DaElg9Z27zeGs,Taxes,EN,Taxes
R_10DfsttrdpUaUxu,Healthcare,EN,Healthcare
R_10GGYg0grEFjzO0,Basic income,EN,Basic income
R_10GIIrEPXH3vp9y,taxes,EN,taxes
R_10GIfLIxOcpMEXg,Housing market,EN,Housing market
R_10GKgtiCgqShQv3,cout de la vie,FR-CA,cost of life
R_10GV6DqAhLeGV88,Adequate budget,EN,Adequate budget
R_10H14hEQUAukG8O,Resolution of pandemic and moving forward,EN,Resolution of pandemic and moving forward
R_10H1qJbbjC016Jk,Économie,FR-CA,Economy
R_10HF41Ua2xLLzxU,Covid recovery,EN,Covid recovery
R_10HhIF9H4whHLO6,Freedom,EN,Freedom
R_10Hhi9yxh8Pr76b,Ranked god damn ballots,EN,Ranked god damn ballots
R_10HlB6kZpfx3B5W,la reconnaissance des aînés à leur juste valeur,FR-CA,recognition of seniors at their fair value
R_10I3DEhoPgbQxks,Le réchauffement climatique,FR-CA,Global warming
R_10I9RtDhQgfYJA9,economy,EN,economy
R_10IApAXVE4O0uq9,La dette,FR-CA,Debt
R_10IYEFer96IoRxa,Housing prices,EN,Housing prices
R_10Iugwfg2jN1BQl,que le gouvernement arrête de gaspiller notre argent,FR-CA,that the government will stop wasting our money
R_10IyNqA2rpoZ0Cl,Housing costs,EN,Housing costs
R_10JI0R8nZn0YSlE,Getting rid of the bloody vax passports,EN,Getting rid of the bloody vax passports
R_10JLCHkmzcWSlB7,No issue,EN,No issue
R_10Ji7r4BHu2bPVz,Covid19 control;,EN,Covid19 control;
R_10JygTROjio3quv,Pandemic,EN,Pandemic
R_10MF6iMlnBN4O8o,The,EN,The
R_10MLt7Whyi1zdOe,La santé,FR-CA,Health
R_10Mi7uqEtVMJEVh,"Aines, immagration",FR-CA,"Aine, immagration"
R_10NJ2BQeBMjJAOE,Accès aux logements abordables et à l’accès à la propriété pour tous!.  Moins de spéculation immobilière…,FR-CA,Access to affordable housing and property access for all!. Less real estate speculation...
R_10NtktXFEacBRcL,Seniors pentios,EN,Seniors pentios
R_10O9vEWWdEIl7ic,Santé,FR-CA,Health
R_10OEBmuK2Dhf7cR,La covid,FR-CA,Covid
R_10OSGW6sXXsJ2Op,Climate  issues,EN,Climate  issues
R_10ObWVfrkjHBius,Economy,EN,Economy
R_10Oh4ZX2HJ5dIKh,le bien être des gens,FR-CA,the well-being of people
R_10Ou4iS6gO84H1s,fake information,EN,fake information
R_10Oy6iQDlti9WB6,Taxes and Cost of Living,EN,Taxes and Cost of Living
R_10OzFarjNH5RRJP,La santé,FR-CA,Health
R_10PFeyDxoQc1kol,should not call election during pendemic and waste so much money on an unnecessary election,EN,should not call election during pendemic and waste so much money on an unnecessary election
R_10PKVzfVFrFwU8J,covid-19,EN,covid-19
R_10PdnpdemehpGE9,Healthcare,EN,Healthcare
R_10PiROy1piNJi6W,Climate,EN,Climate
R_10PqsbgvKlYhoet,le pouvoir de justin trudeau ( dépenses inutiles de fonds publics),FR-CA,the power of justin trudeau (unnecessary expenditure of public funds)
R_10SDQqzAvvP1N0V,Environnement,FR-CA,Environment
R_10SGvWjUi4MfQL9,Economie,FR-CA,Economy
R_10SMD1vioX9yseX,"Animal rights, sustainability, climate change, plant based economy",EN,"Animal rights, sustainability, climate change, plant based economy"
R_10SoNKRpAZEW2qh,the debt,EN,the debt
R_10TA7nYIMgZ1jGg,Climate change,EN,Climate change
R_10TRvLEdaLpYvAq,Debt levels,EN,Debt levels
R_10TXEuhkuCfOtIZ,Climate change,EN,Climate change
R_10Ta42AMf5nF1U8,Conducting election during Covid-19,EN,Conducting election during Covid-19
R_10TmZvbZPMNzyPc,Keeping Canadians safe during the Covid pandemic,EN,Keeping Canadians safe during the Covid pandemic
R_10To3AedLssEseY,Augmenter le revenu des aînés,FR-CA,Increasing Seniors' Income
R_10UfnS3yYRF4SpC,TAXES,EN,TAXES
R_10UhWNzt76ed4QI,COVID-19,EN,COVID-19
R_10UypnUDafPgWke,L'environnement et les droits humains,FR-CA,Environment and human rights
R_10V5rCDmBZpxlFn,cost of living,EN,cost of living
R_10VPxwygmqCSVR1,I hate all governments,EN,I hate all governments
R_10VmjEx7KhmQui5,Economie,FR-CA,Economy
R_10VoyWEmhwA6Axv,Environment,EN,Environment
R_10VsMfsPxvV59Gr,,EN,
R_10YNkOFOcV1r8Ot,"Spending (stop), reduce the debt,l",EN,"Spending (stop), reduce the debt,l"
R_10Yrqsw7bfpgxhc,UBI (Universal Basic Income),EN,UBI (Universal Basic Income)
R_10Yu8rvtOG5zixP,Housing and income support for low income working people,EN,Housing and income support for low income working people
R_10YuG48PZBKUmZb,Care for seniors,EN,Care for seniors
R_10ZOKMRJcQr6gXc,Affordability and the cost of living,EN,Affordability and the cost of living
R_10ZpSsbMUuLkbKK,Deficit out of control,EN,Deficit out of control
R_10ZswyqoN2WaYOl,Climate change,EN,Climate change
R_10o9D3zYVfuWKp9,Economy,EN,Economy
R_10oNxhuysJV9h8O,not letting conservatives win - we don't need anti vaxxers or pro lifers in power,EN,not letting conservatives win - we don't need anti vaxxers or pro lifers in power
R_10oQKGIgOQxEt5g,get trudeau out of power,EN,get trudeau out of power
R_10oT7qhmmeojeLT,LE BUDJET,FR-CA,THE BUDGET
R_10oWvwteWQZzMwE,Cost of living for retirees,EN,Cost of living for retirees
R_10ocJTze9z30dJl,Environnement,FR-CA,Environment
R_10ouGGORlyNJFzi,Economy,EN,Economy
R_10ouqxjRuM1IPGr,HEALTHCARE SYSTEM,EN,HEALTHCARE SYSTEM
R_10owYPDX1Lgs6wl,gun control,EN,gun control
R_10pGTud5RTbcV6X,i do not have one in particular,EN,i do not have one in particular
R_10pcAI3w8R6IxEe,Taxes and amount of handouts,EN,Taxes and amount of handouts
R_10pk2HqfGFfltBF,A few,EN,A few
R_10pxdmIGDCYND7c,environnement,FR-CA,environment
R_10qHKbS4eHIPd91,Health and safety,EN,Health and safety
R_10qp5dlpRbNtlAn,deficit,FR-CA,deficit
R_10r2q2Qp5CiExBn,Housing affordability,EN,Housing affordability
R_10r3Y9Tdu67rgYQ,La gestion de la pandémie,FR-CA,Pandemic management
R_10r7SewP1BzUUmN,Economy,EN,Economy
R_10rCCinq0lldBzQ,l'économie pour régler la dette,FR-CA,the economy to settle the debt
R_10rDsbHQmd7fkdr,the cost of living,EN,the cost of living
R_10ryByGr9tdCDqb,handling of pandemic,EN,handling of pandemic
R_10u4W43H7UTyPqs,L'environnement,FR-CA,Environment
R_10u54n2dsGpzFSG,controlling covid,EN,controlling covid
R_10uENyiE3dZiGWi,environmental issues,EN,environmental issues
R_10uXQLi1YNAKedB,covid,FR-CA,covid
R_10uZe3tWuXA2Zqz, Climate change and respect for human rights,EN, Climate change and respect for human rights
R_10ufE9zaXJC4dD8,Housing Affordability,EN,Housing Affordability
R_10uutjwOYDNvH5t,Health ressources,EN,Health ressources
R_10vBgiqD5o0SVXH,Bringing back jobs,EN,Bringing back jobs
R_10vCciqaW0H45gi,la souveraineté,FR-CA,Sovereignty
R_10vEhGw7SxPiISc,Iam looking for a person with integrity,EN,Iam looking for a person with integrity
R_10vJFrsvNHPC52C,Cost of living,EN,Cost of living
R_10vKX1LZA27EsdV,immigration,EN,immigration
R_10vLxYpjNYFCxtl,I DON'T KNOW,EN,I DON'T KNOW
R_10vguPp4ymcJ0sK,Eastern control of Western Canada,EN,Eastern control of Western Canada
R_10vkMRb5acqdiSQ,Economy,EN,Economy
R_10vnFHqKcbj8hd3,covid 19,EN,covid 19
R_10vpuIYRwELhDdW,affordable housing,EN,affordable housing
R_10w612eZg8Psp7n,Environnement,FR-CA,Environment
R_10wJCBx700VBqMS,Healthcare,EN,Healthcare
R_10wNgtcyS1tUS3s,post pandemic economic recovery,EN,post pandemic economic recovery
R_10wSqF1IuIQcynA,Healthcare,EN,Healthcare
R_10wUGXgBuCMGrL5,More health resources,EN,More health resources
R_10woEHbGWDPCgIa,L’économie,FR-CA,Economy
R_10wrrOTycX3lxPF,Student loan and better wages for nurses,EN,Student loan and better wages for nurses
R_10wxKiUGbbDh5vM,climate,EN,climate
