cps21_ResponseId,cps21_imp_iss,Q_Language
R_08k3ROLKmoxY0QF,"the one that no one is talking about, representational voting.",EN
R_08mrgzWlgQ4O3Id,Housing Market,EN
R_08qPeH7SL9e2qDD,The economy,EN
R_08ujSrAsNIZiaSR,"Social services, indigenous issues, environment",EN
R_095O8fBzS1DzqMN,Climate change,EN
R_09c8fISk4Lv695T,"J'hésite entre l'environnement, la justice sociale et l'éthique animale.",FR-CA
R_09rXQk52uSgZ6XT,Healthcare,EN
R_0AFnaOMcKBDewp3,Nothing particular,EN
R_0AIpA4DcWFeXhUR,Benefiting everyone,EN
R_0ALvnMGbX1Kip2x,Education,EN
R_0ANj2kzaVvvdHAB,Healthcare,EN
R_0AmkcYwVP4YAs2B,INTEGRITY,EN
R_0AqLp53Yg9TuNCp,Health care,EN
R_0B2YkxEDFD4OTBf,Climate change policy,EN
R_0B5JUknG3j5EVxv,education,EN
R_0B8zKsZ25TOpv9f,"I'm not going to vote for Trudeau. My concern is the taxes, covid and climate change",EN
R_0B9icoSNOlCcBXP,housing price,EN
R_0BMkc6uGy7cR8iZ,Covid-19,EN
R_0BNTMGVRLjKpJbr,COVID-19,EN
R_0BPzCOfSFPwOxnb,Indigenous reconciliation,EN
R_0BTtu8U4z6BSHlf,Trudeau and his move left: banning freedom of speech and lack of understanding of monetary policy and its impact on the economy. Immigration policy to broad - should have a merit system so we get people that will contribute to the economy and not be permanent leeches. Care more about disadvantaged Canadians and less about so called refugees who's cultures are not in sinc with ours Climate change  agenda and Paris CC costing us too much..,EN
R_0BajjZqGnQpkV1v,Gestion de la crise sanitaire,FR-CA
R_0BbvDySkiunVQtP,Healthcare,EN
R_0CGpZa6LUMAY95T,economy,EN
R_0CHm41GDiPnexGx,"They Should All Stop Telling Lies & Do What They Say Their Going To,But Their Not GoingTo Do Anything Look At Trudeau A Liar & Can't Be Trusted.",EN
R_0CaTcbRqA52shax,The economy,EN
R_0CbojLDA41IODbr,Health care,EN
R_0CfHARbZsJ5XxiV,healthcare,EN
R_0Ch5zV2V0E5HcQN,Environnement,FR-CA
R_0ClJXI3MQP1V4it,Taxes,EN
R_0Cldot7u70OddrX,Senior drug costs,EN
R_0D3dArC2W4RY0Bb,the parties working together for the betterment of Canadians,EN
R_0DJQibh2enU6EZr,l'environnement,FR-CA
R_0DMLY39AJ8LWBmF,Homelessness issues,EN
R_0DmHJJmo8H8jMSl,Economy,EN
R_0DmjxfCFmKbHnah,Jobs,EN
R_0GMGzZSv0NKR4Ah,increasing government control over our lives,EN
R_0GPzjfZYVji7zJT,debt,EN
R_0GSCYMxmIwP9bdT,Fin de la PCU le plus tôt possible et aussi l'environnement.,FR-CA
R_0GqvCOqjzntCzkd,Reconciliation with Indigenous peoples,EN
R_0HAHlS51nD0SXfP,Economy,EN
R_0If1MFGyN5poD9T,giving seniors a better pension,EN
R_0IhlEnlivJ4nkXL,Leadership,EN
R_0Imxbg7yDeK8H4J,Climate changes,EN
R_0ImxrJefn7Jhpmh,affordable housing,EN
R_0JJlmEcJvR6HCpz,Les droits humains,FR-CA
R_0JPWK0MIWunWw2l,Public health (covid19).,EN
R_0JVMoLM9aIMg5dT,"santé, environnement, économie",FR-CA
R_0Jp3CvrSnHYryHT,Bad Timing for an election and incredibly expensive.,EN
R_0Jp7t0iur4kxgbf,Individual rights,EN
R_0JtjIHoh4di5s8V,Free prescriptions,EN
R_0Jts0ct68oZFffb,covid,FR-CA
R_0Jy5Ovv66fS7KsF,health care,EN
R_0MPtQ9c4pQNA9Yl,Tax the rich,EN
R_0MQAISLu28uN2r7,"The West is consistently overlooked, and Quebec, has too much say.  And gets too much $$ from the West",EN
R_0MQJLzA3A4FoAgN,The unrestrained spending is quite worrisome.,EN
R_0MQU8eze9bGwpmV,COVID 19,EN
R_0Mq7WaBK96t7RTP,federal debt,EN
R_0MqeSVVybeBmJl7,Freedom of speech,EN
R_0Mt1S6qP49U1ohr,Economy,EN
R_0NA1qZGrVdSoYA9,Dépense publique en temps de covid,FR-CA
R_0NAeZNXm3jZG6Pv,Revitalizing the economy post pandemic.,EN
R_0NDAIysZfBL4OC5,ecomomy for middleclass people,EN
R_0NDe1deHjvYCwsV,L'ÉCONOMIE,FR-CA
R_0NG3d6Uawy5UZG1,University tuition,EN
R_0Nb3niHKhFZmekx,not sure,EN
R_0Nb9tk1UgQLqUgh,How Covid 19 is handled,EN
R_0NeErrsbuW2yYQp,china issues,EN
R_0Nu1bb4xuJxiky5,SANTÉ,FR-CA
R_0O2cJwRDo7878uB,not sure,EN
R_0O4LV5In90pNFgB,Better government for the people,EN
R_0OGOGV1dE3Aafh7,Covid-19,EN
R_0OI6WpR9qLoJKXT,"the handling of the COVID crisis.... Mandating Vaccination, getting COVID under control",EN
R_0OPDlKaTex6kA5b,Assurer un meilleur avenir,FR-CA
R_0OPUlr65a9XhnRT,La culture et art,FR-CA
R_0P1MjthSzTxLqDv,Education,EN
R_0PAZiulK6ISQ4eZ,COVID Management,EN
R_0PMkjF66AnxrhbH,Resolving the Deficit,EN
R_0PPJWMtvFb6MewV,Économie,FR-CA
R_0PbPEllnVOMkLfP,N/A,EN
R_0Py4DT9nZkO2E6d,Changement climatique,FR-CA
R_0PzaDxIT3pHGp2h,...,FR-CA
R_0SNYrcOEZIV7ErL,gun control,EN
R_0SS6bswRLKXJTAl,Economy,EN
R_0STOxLQFigBcysN,Cost of living,EN
R_0SXXvwtloW0x68N,Covid-19,EN
R_0SrRhxnvmMQETrb,qu'regle le déficite en partie pour commencer et monté la pension Fédéral pour personnes de 65 ans et plus.,FR-CA
R_0Sz2c9hQaUxK4OB,Gestion des armes a feu,FR-CA
R_0Szb0lMjwdISQQp,Covid-19,EN
R_0TICKp83rj4m43T,cost of living/inflation,EN
R_0TKDCzNx1IiWabf,less pretending and get job done,EN
R_0TXTkJTV89lZZMl,Helping Canadians get through this pandemic and get to our new normal,EN
R_0TdQAklnxx6lzmV,To much promisses,EN
R_0TibgLrvHQ7oCuB,Health care,EN
R_0TjCXc0pGW0GYtb,Keeping the far right out of Govt,EN
R_0TkZ1gDlyWHMkhj,Changement climatique (protection de l’environnement),FR-CA
R_0U4TvHmLlUYbm81,Système de santé,FR-CA
R_0U66vu0nciqXR6x,Housing,EN
R_0U7Q441TH5hd9Bf,employment,EN
R_0U89oAPKZhjRJgR,Environnement,FR-CA
R_0UIE4naLwPnmi1b,DNK,EN
R_0USO4IHBUCRcgHn,Taxes,EN
R_0UhKeOBQwodTzUZ,economy,EN
R_0VOMzY9cELjNLwJ,Sound Economic Planning,EN
R_0VShg4aSpoeEcTf,sante et eduation,FR-CA
R_0VTTPLv1v7U3929,economy,EN
R_0VWzvZIni7mABDb,Financial sanity of the government,EN
R_0Varie1eJ3lyPHr,Economy,EN
R_0Vd0p2HbqcU3RzX,Plans to mitigate homelessness,EN
R_0Vz1BSy1NmSQRZn,La santé,FR-CA
R_0cAbNYGsxnmsyt3,Covid,FR-CA
R_0cAtUv26URy0CGJ,Covid,EN
R_0cDhwqTXM7C8TbH,Apres-pandemie,FR-CA
R_0cWZBgabZFjvsd3,No choice,EN
R_0cZkLlVDqrfVYUF,Debt,EN
R_0cadGOi1qyZ7QpX,covid vaccinations,EN
R_0cw9NrW5a6ZDwgV,Affordability,EN
R_0d3EVdCIk63SYw1,Gun restrictions,EN
R_0diR6RGexFbSe0p,Getting Trudeau OUT,EN
R_0e0i66JlcE5FiYp,stop taxing everything,EN
R_0eqlyUxzQxqsE6Z,Personal medical freedom,EN
R_0ezfzLXsulx8Q3T,Economy,FR-CA
R_0f9JAPFZxajbBHr,la sante et l’education,FR-CA
R_0fGp8sByiSU8ddn,taxes,EN
R_0fbPHcFHNRfckCZ,Health care,EN
R_0fuiMnZB6Kr5luh,debt on all levels from personal to federal,EN
R_0fupzLuERlcH9lL,COVID-19,EN
R_0iA5zk0ZtLV7rIB,contrôle des armes à feu,FR-CA
R_0iA9qwvVAP6T1vz,Taxing the 1%,EN
R_0iAyf11kd0DaYFP,pandemic recovery,EN
R_0iBrgvhRFP0Qy8V,employment,EN
R_0iJngJ324vZGgDv,National debt,EN
R_0iTbUsGmUwnG1SV,santé,FR-CA
R_0igcimawBHqXvdD,everything,EN
R_0jIfVPQR0ieHMkh,COVID-19,EN
R_0jheAzpphDAmnQd,"Ensuring peace of mind for all Canadians, that there are adequate health care services provided, and adequate funding/resources for businesses.",EN
R_0joua4uQ3XgK1Db,Climate change,EN
R_0k4otYmIDeACdBT,taxes,EN
R_0k7RpF8yeD6BZUl,l'environnement,FR-CA
R_0kPMg3y06WuKf6h,Home and childcare prices going down,EN
R_0kU95Crl1NRUXm1,économie,FR-CA
R_0kVkelIYjVKDkIN,L’économie,FR-CA
R_0ksgHwXPQTQdbQR,Longterm Care,EN
R_0kxZT02kf5QtTl7,Covid plan,EN
R_0lFJ8ADXjRIwMSZ,Covd-19,EN
R_0lcEjdbAgMGzSRX,Économie,FR-CA
R_0oBfSihcMFl7iSt,Housing costs,EN
R_0oGlANRmN8ULKXD,Prendre soins des aines,FR-CA
R_0oVOMWCAeHbz173,Covid,FR-CA
R_0p4Le02t7W4wfkt,Honesty,EN
R_0p9mB7e1sq0vow9,jobs,EN
R_0pLFT8WoigoKFlD,Economy / debt,EN
R_0pMHipP1DGF33Vv,I don’t know,EN
R_0pPZnGvgqXhbGAV,health care,EN
R_0pUcOUQuss58bnz,"The amateur way that the Liberal government deals with the budget, foreign affairs, immigration and many other issues.",EN
R_0pm5lueJwxhgL7j,Environnement,FR-CA
R_0pvjG5E7sch5d1n,Issues related to Seniors including long term care and the need to place this matter under health and not private enterprise,EN
R_0q4mUE3EHcz7d4d,covid,EN
R_0q8DJ1SmwYL3qMh,pandémie,FR-CA
R_0qF0WyBBXQcFFHH,covid 19,EN
R_0qSaYnLD6fNLYs1,Getting out of the pandemic,EN
R_0qbALWF00G9hohH,"honesty from politicians, and accountability",EN
R_0qdcZFqOqbITnwJ,COVID,EN
R_0qtzE07XYvesYEN,Climate Change,EN
R_0rETr4mQSjEWVnH,Ameliorer la situation de la classe moyenne,FR-CA
R_0rGdZ8m0yqF9mPT,Pandemic,EN
R_0uCJmJ8H5Nk4dep,the economy,EN
R_0uE2Eu0VKTXeLOV,Housing affordability,EN
R_0ufROPg2gaqEUqB,cost of living for the middle/lower class,EN
R_0ujI873YWafWyLD,Finances,FR-CA
R_0un6v7j7bdUXBHH,La santé,FR-CA
R_0v2UKFUw0qhl5pD,Pharmacare,EN
R_0v62WKncttu8sA9,-99,EN
R_0vTWYZkEJL4dYyd,Climate change,EN
R_0vqq1p47YrYshK9,Climate change,EN
R_0vwtJCJcxB9Hju9,COVID-19,EN
R_0vzecSzCbrSqZvb,The federal debt,EN
R_0vzvp6VvFOy8LGF,L’environnement,FR-CA
R_0w6XLNwvOha4NX3,La transparence,FR-CA
R_0w9TlxSIQHESrn3,Environnement et covid19,FR-CA
R_0wS5VnQRfeWzsFb,Climate Change,EN
R_0wbOaxs5J9duvHb,getting the debt/deficit under control,EN
R_0wfGnMHidcaEt3z,L'économie,FR-CA
R_0x3CZqPnvzTBn7X,"La pandémie, l'ecologie",FR-CA
R_0xDVF9G5HQl3Qrv,I don’t have an opinion,EN
R_0xFA9x2vYfB1HIR,Pension Incomes & Affordable rental housing,EN
R_0xFAu7sQGuycGhH,"La limitation de l''ingérance fédérale dans les champs de compétences provinciales, surtout en santé.",FR-CA
R_0xQ0q4SXAC5uvfP,economy stability through and after the pandemic,EN
R_0xQokLUG8bMrlKN,covid,EN
R_0xnW2PonzkooeMp,INFRASTRUCTURE,EN
R_10AVE10jymgA09z,Jobs,EN
R_10AW015j9MsGoLZ,Les finances,FR-CA
R_10AcmxCpCUSm0Wo,Getting a new prime minister,EN
R_10AjWx9s9XgiRnT,L économie,FR-CA
R_10AulMzRKj8PxzR,Budget,FR-CA
R_10B2G7qg9egIp2L,Environnement,FR-CA
R_10B46qs7fGOQ42a,Child care,EN
R_10BDyzlXWQq5JhP,L aventure dees enfants,FR-CA
R_10Bqwsg3irIy5HD,jobs,EN
R_10Bscd3pg8sZeYe,Fiscal accountability,EN
R_10C6IrRdfStQzYo,Covid,EN
R_10C9xHCNhPWJByp,Health care,EN
R_10CK89msAWgyUxk,Liberals,EN
R_10CNrXfg0TUrOdT,Healthcare,EN
R_10CbjdvHv8ajxk7,covid,EN
R_10CddUHLyyXtuyR,Get rid of Trudeau,EN
R_10CqnBpp9TmQZh9,Economie,FR-CA
R_10CvX2oSojtfNZV,sdfvFX,EN
R_10D9FAyCAF9vpdZ,Health care,EN
R_10DaElg9Z27zeGs,Taxes,EN
R_10DfsttrdpUaUxu,Healthcare,EN
R_10GGYg0grEFjzO0,Basic income,EN
R_10GIIrEPXH3vp9y,taxes,EN
R_10GIfLIxOcpMEXg,Housing market,EN
R_10GKgtiCgqShQv3,cout de la vie,FR-CA
R_10GV6DqAhLeGV88,Adequate budget,EN
R_10H14hEQUAukG8O,Resolution of pandemic and moving forward,EN
R_10H1qJbbjC016Jk,Économie,FR-CA
R_10HF41Ua2xLLzxU,Covid recovery,EN
R_10HhIF9H4whHLO6,Freedom,EN
R_10Hhi9yxh8Pr76b,Ranked god damn ballots,EN
R_10HlB6kZpfx3B5W,la reconnaissance des aînés à leur juste valeur,FR-CA
R_10I3DEhoPgbQxks,Le réchauffement climatique,FR-CA
R_10I9RtDhQgfYJA9,economy,EN
R_10IApAXVE4O0uq9,La dette,FR-CA
R_10IYEFer96IoRxa,Housing prices,EN
R_10Iugwfg2jN1BQl,que le gouvernement arrête de gaspiller notre argent,FR-CA
R_10IyNqA2rpoZ0Cl,Housing costs,EN
R_10JI0R8nZn0YSlE,Getting rid of the bloody vax passports,EN
R_10JLCHkmzcWSlB7,No issue,EN
R_10Ji7r4BHu2bPVz,Covid19 control;,EN
R_10JygTROjio3quv,Pandemic,EN
R_10MF6iMlnBN4O8o,The,EN
R_10MLt7Whyi1zdOe,La santé,FR-CA
R_10Mi7uqEtVMJEVh,"Aines, immagration",FR-CA
R_10NJ2BQeBMjJAOE,Accès aux logements abordables et à l’accès à la propriété pour tous!.  Moins de spéculation immobilière…,FR-CA
R_10NtktXFEacBRcL,Seniors pentios,EN
R_10O9vEWWdEIl7ic,Santé,FR-CA
R_10OEBmuK2Dhf7cR,La covid,FR-CA
R_10OSGW6sXXsJ2Op,Climate  issues,EN
R_10ObWVfrkjHBius,Economy,EN
R_10Oh4ZX2HJ5dIKh,le bien être des gens,FR-CA
R_10Ou4iS6gO84H1s,fake information,EN
R_10Oy6iQDlti9WB6,Taxes and Cost of Living,EN
R_10OzFarjNH5RRJP,La santé,FR-CA
R_10PFeyDxoQc1kol,should not call election during pendemic and waste so much money on an unnecessary election,EN
R_10PKVzfVFrFwU8J,covid-19,EN
R_10PdnpdemehpGE9,Healthcare,EN
R_10PiROy1piNJi6W,Climate,EN
R_10PqsbgvKlYhoet,le pouvoir de justin trudeau ( dépenses inutiles de fonds publics),FR-CA
R_10SDQqzAvvP1N0V,Environnement,FR-CA
R_10SGvWjUi4MfQL9,Economie,FR-CA
R_10SMD1vioX9yseX,"Animal rights, sustainability, climate change, plant based economy",EN
R_10SoNKRpAZEW2qh,the debt,EN
R_10TA7nYIMgZ1jGg,Climate change,EN
R_10TRvLEdaLpYvAq,Debt levels,EN
R_10TXEuhkuCfOtIZ,Climate change,EN
R_10Ta42AMf5nF1U8,Conducting election during Covid-19,EN
R_10TmZvbZPMNzyPc,Keeping Canadians safe during the Covid pandemic,EN
R_10To3AedLssEseY,Augmenter le revenu des aînés,FR-CA
R_10UfnS3yYRF4SpC,TAXES,EN
R_10UhWNzt76ed4QI,COVID-19,EN
R_10UypnUDafPgWke,L'environnement et les droits humains,FR-CA
R_10V5rCDmBZpxlFn,cost of living,EN
R_10VPxwygmqCSVR1,I hate all governments,EN
R_10VmjEx7KhmQui5,Economie,FR-CA
R_10VoyWEmhwA6Axv,Environment,EN
R_10VsMfsPxvV59Gr,NA,EN
R_10YNkOFOcV1r8Ot,"Spending (stop), reduce the debt,l",EN
R_10Yrqsw7bfpgxhc,UBI (Universal Basic Income),EN
R_10Yu8rvtOG5zixP,Housing and income support for low income working people,EN
R_10YuG48PZBKUmZb,Care for seniors,EN
R_10ZOKMRJcQr6gXc,Affordability and the cost of living,EN
R_10ZpSsbMUuLkbKK,Deficit out of control,EN
R_10ZswyqoN2WaYOl,Climate change,EN
R_10o9D3zYVfuWKp9,Economy,EN
R_10oNxhuysJV9h8O,not letting conservatives win - we don't need anti vaxxers or pro lifers in power,EN
R_10oQKGIgOQxEt5g,get trudeau out of power,EN
R_10oT7qhmmeojeLT,LE BUDJET,FR-CA
R_10oWvwteWQZzMwE,Cost of living for retirees,EN
R_10ocJTze9z30dJl,Environnement,FR-CA
R_10ouGGORlyNJFzi,Economy,EN
R_10ouqxjRuM1IPGr,HEALTHCARE SYSTEM,EN
R_10owYPDX1Lgs6wl,gun control,EN
R_10pGTud5RTbcV6X,i do not have one in particular,EN
R_10pcAI3w8R6IxEe,Taxes and amount of handouts,EN
R_10pk2HqfGFfltBF,A few,EN
R_10pxdmIGDCYND7c,environnement,FR-CA
R_10qHKbS4eHIPd91,Health and safety,EN
R_10qp5dlpRbNtlAn,deficit,FR-CA
R_10r2q2Qp5CiExBn,Housing affordability,EN
R_10r3Y9Tdu67rgYQ,La gestion de la pandémie,FR-CA
R_10r7SewP1BzUUmN,Economy,EN
R_10rCCinq0lldBzQ,l'économie pour régler la dette,FR-CA
R_10rDsbHQmd7fkdr,the cost of living,EN
R_10ryByGr9tdCDqb,handling of pandemic,EN
R_10u4W43H7UTyPqs,L'environnement,FR-CA
R_10u54n2dsGpzFSG,controlling covid,EN
R_10uENyiE3dZiGWi,environmental issues,EN
R_10uXQLi1YNAKedB,covid,FR-CA
R_10uZe3tWuXA2Zqz, Climate change and respect for human rights,EN
R_10ufE9zaXJC4dD8,Housing Affordability,EN
R_10uutjwOYDNvH5t,Health ressources,EN
R_10vBgiqD5o0SVXH,Bringing back jobs,EN
R_10vCciqaW0H45gi,la souveraineté,FR-CA
R_10vEhGw7SxPiISc,Iam looking for a person with integrity,EN
R_10vJFrsvNHPC52C,Cost of living,EN
R_10vKX1LZA27EsdV,immigration,EN
R_10vLxYpjNYFCxtl,I DON'T KNOW,EN
R_10vguPp4ymcJ0sK,Eastern control of Western Canada,EN
R_10vkMRb5acqdiSQ,Economy,EN
R_10vnFHqKcbj8hd3,covid 19,EN
R_10vpuIYRwELhDdW,affordable housing,EN
R_10w612eZg8Psp7n,Environnement,FR-CA
R_10wJCBx700VBqMS,Healthcare,EN
R_10wNgtcyS1tUS3s,post pandemic economic recovery,EN
R_10wSqF1IuIQcynA,Healthcare,EN
R_10wUGXgBuCMGrL5,More health resources,EN
R_10woEHbGWDPCgIa,L’économie,FR-CA
R_10wrrOTycX3lxPF,Student loan and better wages for nurses,EN
R_10wxKiUGbbDh5vM,climate,EN
R_10x4POcI0TnVPl9,Affordability and cost of living,EN
R_10xBl4TW3tFK9Oq,Environnement,FR-CA
R_10xvOjJC4bcQGqV,Climate Change,EN
R_10xyQwcfB0RDkEJ,Health care,EN
R_110WI4Uucq9fKW6,Transfer en santé,FR-CA
R_110Yj6P7jMwAIKh,health care,EN
R_110dc3OXwpBIbaC,Healthcare,EN
R_114KcqOUB2l1fiS,Human rule,EN
R_114LL7bcfATjBWR,Taxes,EN
R_114N3C7k1JWKBac,idear for improvement of retire persons,EN
R_114NjibEJ8SJzXg,Budget,EN
R_114OAClF4vh1O5l,Education and COVID 19 Response,EN
R_114mAjlnNevO8DI,poverty and inequality,EN
R_114nbuIz2eYz5m8,Economy,EN
R_1154IgVlPTNqI9J,affordability,EN
R_1155fY97MQqmJZE,Economy,EN
R_1157BKSj9f22LFF,Autonomie des provinces,FR-CA
R_115Cyyv8VoDctGK,les finances publiques,FR-CA
R_115PK1cIgdYG4Bn,COVID-19,EN
R_115TKUL8fubUar0,Climate change,EN
R_115zCLwVn61MDWZ,ta x,EN
R_116DvYhGN816TD3,Immigration,EN
R_1172DQSWW3lFOrN,"Financial health of the country, debt, interest rates, spending, etc",EN
R_11746HSEXeXVCEf,deficit/debt,EN
R_1175e4FNscMJcAa,the federal debt,EN
R_1178x5jjF9HIrFe,Affordable housing,EN
R_117W7iRt1Vr9usN,Covid-19,EN
R_117vAoQZSmLKzS0,Health,FR-CA
R_11X8IuiKtwfQ1aC,Helping students and the arts,EN
R_11XCcCQ9dFBPycJ,environnement,FR-CA
R_11XDW5kytV8kNqm,Le cout de la vie,FR-CA
R_11XGdSZoHgGZB5u,"How the different branches of government with deal with covid as well as education, health care",EN
R_11XV9bqYKn2trtL,The pandemic,EN
R_11XXZ0PWR1O9UYh,health,EN
R_11Xaj4y5PSUT0gE,unité,FR-CA
R_11Xamyd0VdeeiU5,Cost of Living,EN
R_11XbDYnSHmM9Plp,COVID recovery,EN
R_11XjwagAhHPnBXG,Poverty,EN
R_11Xt6qOCEciH0Ph,getting rid of Trudeau -- his hypocrisy is terrible,EN
R_11Y0DuSKTHiRmxy,addressing climate changes,EN
R_11YBot8PfYyPb8l,Economy,EN
R_11YBtJFgZMNUzjT,Government ethics,EN
R_11YCKOiPYH7spbL,The economy,EN
R_11YGqrulCeRH9zn,Efficiency of government,EN
R_11YgZdF6qRtjWfh,Not being in a communist country. Justin Trudeau said he would take away human rights and democracy to those who are unvaccinated. This is a huge human rights issue.,EN
R_11Yq2vzNfmrvyCh,Economic recovery,EN
R_11ZPvDUfYgyKBR8,Ne sais pas encore,FR-CA
R_11ZaldlYx9b2KHb,Reestablish a workable budget putting Canada  and Canadians first,EN
R_11ZqT1ItxbYUqQ9,Eradicating/controlling spread of Covid 19,EN
R_11ZqUAFl86aGtzV,Covid,EN
R_11Zs0XsalAd4ecY,L'enjeu aurait été de ne pas avoir d'élections.,FR-CA
R_11aQkBsk8Ob5kd5,Nine,EN
R_11an9wDuvxGXoZ4,Economy,EN
R_11anfgfime5kUZx,Economic,EN
R_11au0n8n8yhRGPO,Housing and cost of living,EN
R_11b95jD9ouQPCn8,Environment,EN
R_11bFE5ZtAQ4O8Be,reconnaissance du francais et peuple du Quebec comme peuple colonisateur a égalité avec les anglais,FR-CA
R_11bImT9kZV6h5tJ,Not sure,EN
R_11bViq6zzTPCxvj,Housing prices,EN
R_11bjoKTrYLMm3aW,Environmental policies and the housing crisis,EN
R_11bkz9QiPHBj1wx,Housing,EN
R_11bvmyKC3EQ7lpC,Cost of living,EN
R_11bvn9wJZRnzg4j,COVID 19,EN
R_11bxS8AtnCC9DLt,Cost of living,EN
R_11by1IhjglTjtw1,Covid,EN
R_11bzFFPfJz0Vrp4,Economic,EN
R_11bzk4GYqCFU4kP,Senior Affordable Housing,EN
R_11cFXv0wUzob3pj,senior's welfare,EN
R_11cHMdDe3OsPGKm,Freedom/end of censorship and mandates,EN
R_11cJzC1e6dJZOx4,Climate change,EN
R_11cQrJy2KsVWJQY,"The pandemic. I want to know who will best manage the balance of economy and healthcare, as well as future plans for the vaccine passports.",EN
R_11d6Tw7foKx6dFi,Environment,EN
R_11dVTeXr18o2MhF,Economie,FR-CA
R_11dpzdVvRDZwvOF,Santé,FR-CA
R_11dq42RRHxqDWXi,funding for seniors,EN
R_11dtWXjojk5dODv,Finances publiques,FR-CA
R_11dvIrjbTXC4Iln,Affordable housing,EN
R_11gOhe01SV73vId,Food security,EN
R_11gv44AwPtjdhRk,Climate change.,EN
R_11hCcJYdeiLfgnR,taxes,EN
R_11hDBxbUnMtg903,"Covid/vaccine mandates, passports",EN
R_11hHMX4uiz2Ogi4,économie post-covid,FR-CA
R_11hfXEdEnNUiLaA,Indigenous relations,EN
R_11hho1UMEge01z2,how who is elected will effect me and my family,EN
R_11hhs9kjzATZlCJ,Mandatory covid vacxinations,EN
R_11hjwL2QQup5VRf,Impôts pour retraité classe moyenne,FR-CA
R_11hz5mMjyDtAli1,Forced vaccinations,EN
R_11hzxI6S0sVcFeA,santé,FR-CA
R_11hzyC6EI3oeur1,Healthcare,EN
R_11i2DdSxGY0CPUU,Getting the nation theough the pandemic so we may seriously address out  environmental challenges,EN
R_11i4iKdpD8iveTb,Cost of living,EN
R_11iRBLSZ9H6Rc73,Retrouver nos libertés,FR-CA
R_11ivVy27zVE03Jg,Health Care,EN
R_11j4Xhr1oszx2YR,l'environnement,FR-CA
R_11j4YAVwOlpen1O,The wellbeing of the Indigenous Peoples,EN
R_11j4uV9wum1DyHF,Affordability/economy,EN
R_11j6NfjcB25Es0H,Trust,EN
R_11j9kFiWxHNNVI1,"Dire need to innovate green technology: carbon capture, hydro and wind power, mining for battery minerals",EN
R_11jB9YtfasjVGD3,COVID issues,EN
R_11jDTgQTUxInbly,Corruption within political parties,EN
R_11jX1WMUoYqmmPK,le deficit,EN
R_11jdLuMjnf7pQDv,Current policies of coerced vaccines & so called vaccine passport. Signals loss of freedoms & rights. Government overreach.,EN
R_11jdzSM7I0Jiklh,Immigration,EN
R_11jx9Efqwsy51bO,Free speech,EN
R_120iTjA1HeBO1Xk,La majorité parlementaire,FR-CA
