cps21_ResponseId,cps21_imp_iss
R_PGo6Tx2MPG3Q9WN,Getting rid of Justin Trudeau
R_3hDVoXZ0ZNGm85j,deficit
R_1JPmoKTmWmIz6pk,Healthcare
R_2ScuhJpzbqx3211,Economy
R_RfQbp0sBe0sXXLX,Climate Change
R_3Oia7YS0SuFki59,L'environnement
R_cHkwX7o9l8y3o9r,Economy
R_3DdnBXJFRqh8vfQ,La Pandemie
R_tJPEqEsMGHxQ2MV,Se débarrasser de Trudeau
R_1NlCC9fkYlX16rp,Racism human rights environment
R_D8jZ4EVlkHWfiIV,COVID
R_3gMLnF0BEa2HfxT,change
R_2duQRaxmttl8P3y,the climate crisis
R_1iaLWaUbFrWyi8n,Addressing climate change
R_2AHlfcGb8NrWLpk,Climate emergency
R_12Lo4UOesjisat8,Homelessness
R_3hxy7EcX5oybvWU,Économie
R_DHqBSw3qZUl9acp,Keeping our democracy
R_eWGTY1asaJCtO5r,Our country's debt!!!
R_3L1lZaUkIpAPEgD,avoir un gouvernement qui saura gérer le pays et non son égo
R_yVkc69xQCtqnXA5,covid19
R_27O7foduPRwP4Yf,Reshaping Care for Older Adults
R_3MhexIeOnoeqlUf,Environment
R_3nVoRo2VUla5ON7,climate change
R_1CI8Fxvh0exDDON,la santé
R_3n94I5XEsWbevcC,La gestion de l'économie en temps de crise
R_1QMCdQARFteCQx4,Overcoming covid
R_10OEBmuK2Dhf7cR,La covid
R_bPLfJvpKOX2eEx3,Housing affordability
R_1mjT4f33zeJNlHc,Urgence Sanitaire
R_ZdvBtrFBGlhsAGB,CCB and support for the Middle Class
R_4VAPWiLOEKpdNSN,-99
R_1ewSJahkAjmNGOJ,Climate change
R_32WQKUd5qWtyiRK,senior citizen supports
R_1DqCtfGuEli68k8,National Defense Procurement
R_21ngbcXw3I3M69y,La santé
R_da8aCGYxxL1kHip,-99
R_sogOfxLtZ6Xg7pn,Covid
R_1gSJC7Lg6HffPss,La sante
R_usuPbFQpyERXe7f,aucune idee
R_qFt5ZtX0FH3XPyN,Quality of Senior care facilities
R_9z6tbrNPuXLpoOJ,More money for people on disabilty
R_31LXnC5k3UrFAAG,Global warming
R_3JhnCpxicv947R8,Santé
R_0vzvp6VvFOy8LGF,L’environnement
R_u8v5HhuOgaSI9PP,Healthcare
R_2wKqjre77SwIzVg,Job security
R_1C2cRLpvfCx2wvw,Covid
R_3nOybctALR5bHhz,Government accountability
R_2CfTSHBQaKzFZsd,Climate Change
R_WeTSHRDEO2tnCDf,Healthcare
R_UA8v7nDugvrXNzX,Recovering economic
R_3iW2nilHsibGmY1,Justin Trudeau's power grab
R_3GE2A7GEV3HuNXu,Law & Order
R_O1hFW9y38rKG0bn,Économie
R_bf4rNYsbzqSOcuJ,nothing
R_1QKS6NGmUIFjN7f,climate change
R_3rHPxL3NreDtSs3,Pandemic response
R_3rZZmerS63iL4zL,SENIOR CARE
R_2qn1QxbmabddJgz,Indigenous matters and affordable housing
R_1KseQl36guwjGBH,Planet
R_ZlTYeUOYu0rnOKd,système de santé
R_295k9MpaTlvJrCg,Housing affordability
R_z2QfjCJZS7kkZMt,Corruption
R_PzcRycUNvZkadUt,Immigration
R_1rqZOgVld6Xdk7L,Immigration
R_2ZUpQaj2wNsaZYg,Le partage des compétences entre Quebec et Ottawa
R_1g8sBpoNi0MHLek,Housing & climate change
R_3lSOsLuvGWCY5KG,Leadership lacking
R_1kSUaKiSlxCIGFC,Healthcare
R_31cm1j448SOaKZc,Economy recovery
R_wO9Fcx6QpRp9Qjv,Economy
R_A0eWcqsp1jhOlSF,Economy
R_1pYUwMXKX0JxFuO,Dealing with COVID-19
R_1py9s82lsEFhEKR,LES AUTOCHTONES
R_2UbEBrsj5SoGBpP,To make my vote count
R_1N8ELQQuVkGXuFn,Covid
R_2eRPsRpk4zbgUS8,Climate change
R_1luhE15Xxw8V2mg,Protection de l”environnement
R_yIpQH3dPFLQzKff,Climate change
R_12l6B4IsUk54HOi,Environmental Protection and Climate Change
R_vDC1D79V9h8M9YB,Covid
R_3IWxKlWFeOMmtQY,to find a good  leader
R_1Dvvu5ReJ8aK6yV,Transparency
R_20OLCKxlQ5podO5,Personal freedoms
R_2WCi88GlSVQ2PET,Climate change
R_2chFF118MjPUo55,Transparency
R_1ILDuaaDK3QfZ4c,empêcher Trudeau de devenir majoritaire.
R_2VkaLn9NN8JSVVN,Youth Employment
R_2xxBNpfJN1NhMRu,Housing
R_3KpYcRWv8mMXHGZ,Economy
R_TtRhRLAKAgrbCiB,"Getting rid of a corrupt,entitled politicalparty"
R_2YVSRwneWSmGHT6,La gestion dès finances
R_2CgehtT8rMZYlRQ,Le covid
R_3OftaNwndBwIj6P,Income inequality and home affordability
R_1FCHuAT3cPkyB5t,Santé
R_3lYL3J3AFI7qURO,Getting this pandemic under control
R_9Hwi094tFtm5szL,living affordability
R_3MzCeFbQTJQRBSO,Santé et environnement
R_3NJb4T5nGNVpQkW,taxes
R_qW19JRTHHDaBr8Z,Protection from the Coronavirus
R_3jcAlFKJEqAuPb8,Les changements climatiques
R_2fiZDMjFffu7EqG,Fiscal transparency
R_3lREnhDDNjTAlTH,Treat Western provinces like they are part of Canada
R_NVX7s5okaKQfD5n,The cost of living
R_3gOgH0I8F220zSR,Health care
R_3CUyL0BriP4YnTS,climate change
R_2ypSlhkdm5nhJ9l,bacic income implimentation
R_TtIrSEJqoDcoAEh,the environment
R_10C6IrRdfStQzYo,Covid
R_31bj1H1QwexDslB,A national dental program that covers cleaning and preventative measures
R_3KpaWKzdLa9j1aO,Poverty and social housing
R_3F2jUt99bTwjkKk,Environment
R_3Ddw8mjAIvEPiF1,Covid 19 economic impacts
R_2PpNcw2WlfuyTM7,healthcare
R_2PBjBhJmdLQd1Mx,Inflation
R_2rDysrvvRvXLCaI,Inflation
R_3lVy3bBCvonFyiV,Economic
R_3oBkb34n9I53CRE,Debt
R_29gIodP2UmEOeWd,Housing costs
R_2Qs38Xqi3LNGavv,Environnement
R_1LhwyfD3mdgzyoQ,Climate change
R_0TdQAklnxx6lzmV,To much promisses
R_3JKlSI01Ko7sToc,Economy
R_3hrM3qVEdZbpLEh,mandatory vaccinations
R_3g6mrlPTdkXxZgN,Changement climatique
R_3O7Gfphqr4fJajg,environnement
R_2Yy3Luct6empC5K,Affordability
R_2y2yRcYqsre1fk6,Affordable Housing
R_2c7pFSIVBHRDWEm,Economy
R_1LBUwAEMjYxe5oV,hate carbon tax
R_cHFWwuouScJRfBn,The Economy
R_1JIqT0fD9sf4RXG,healthcare
R_1hA39t9VPjRnyrN,Cost of living
R_2TZvYA9LPV3qZfp,transparency
R_2aLbszUgqBiV1Sg,a honest politician
R_268AbhXrIcXms3u,COVID-19 et l’économie du pays ainsi que l’environnement
R_2QLFiKvk0lBsUXI,Corruption
R_1gcjGkMAR4xcbGB,L'environnement
R_qIn6VASqNzhdrTH,SOCIAL AND ENVIRONMENTAL
R_R92a5cwg2Re6UVP,Covid
R_12fOCXtAQqTxAmi,HEALTH CARE
R_ZKSDNtTEEwh6xoZ,"recovery, both financial and social"
R_2R3KSs9HHkydd13,The economy
R_1I41fVyn4GN6H4F,Les finances
R_3iJdr7xtJnzGVE4,Health
R_r3AXDNpwMiIEQyB,Economy
R_3M6zVCceRCI5rlx,Covid 19
R_32JBMRBHpTKLnOk,Health
R_1DC0ZdoukEVLBrq,Climate Change
R_D2UdgbQ8Q7NsOhX,healthcare
R_sHZM9r3q33SiFHP,Honest government
R_Qaod6OeulTohifL,Healthcare
R_3kNi6oXqCqTFtcF,not sure
R_22J4CuFJwf3C5Zg,Honesty
R_SOkCJJTF3MFVuVz,Relance économique
R_31bmDFocjGBGaHS,how they are going to handle covid
R_3HzEld52vK6c6yc,Get rid of Trudeau
R_eVUuny5iEFaDV9n,"L environnement, réchauffement de la planète, le sytème de santé,"
R_2zAVQUbJve1iTJi,Health care and cost of living especially For single moms
R_2b2XIolDGKd1kRq,Gérer la Covid 19
R_2X54gVXeCn9dbTq,Climate change
R_31yjneN0fAdjBrS,What changes will be made after the pandemic ends in terms of the health system and the economy
R_3G84mj754c0hmfM,Le souhait de Justin Trudeau d'avoir un gouvernement majoritaire
R_3k6VKhMyRIWGhaA,economic recovery from covid
R_2Xba1kVLvIw4klw,CLIMATE CHANGE
R_3RlKmmgH6VsokrX,L'argent en science
R_BEbYaJg4H9w2rip,Immigration
R_2Sc6kmsxIht2oEM,Environnement
R_dgReXZv3oVBQAwh,financial accountability
R_ZK8J9mYY9GFIIr7,Seniors
R_1DSUVTW5No2Mh2U,Not sure
R_1FQIQXa8Budd7xs,I don't like re'elections
R_3gT8QCIDp2jEU9s,Health care
R_TjaZ9kzCvPaQfV7,Économie
R_OlKlrDBg4NC3Ra9,SPENDING
R_SAVj9Zf5U3lCgAV,Economy and inflation
R_3M0xTfMF62ZNfqr,Environnement
R_XzSvSScxLLpzNAt,human rights
R_3PGleVEE1b9XZKs,Human rights
R_25FTePYypPTF8ni,Environment
R_2OGB2CVpcIo7elS,Gestion de la pandémie
R_3oTnHDRBVxoXi7D,Québec
R_29idgE92HDKuE0O,euthenasia
R_3GvbAEb9YrmgdSx,Climate change
R_2tJQYBohWr8evtT,Housing
R_3QXbyuhmYVdotec,"To help the needy, update the Federal pension to be able to survive with the cost of everything going up, we can't afford to live properly"
R_33m783KcIovmdVu,Ethics and competence
R_tPTgoANUGHqGIGB,Climate change
R_3I9VKzV2XgTDUaR,Climate Change
R_2Sxazj4lg3CgcjP,economic recovery
R_1DveLaFiKKGzxp2,Healthcare
R_3k0QyccxNmryM2W,Climate change
R_3Ldp9g1DbpVFroU,getting rid of Trudeau
R_1ltuQCkBMqNJLAt,Housing
R_3Ej27n75wYhF238,Freedom and liberties
R_2Cgk3Pfft3ZZib5,Financial stability and affordable housing
R_1IGUIAnX9hX4oYU,La protection de l’environnement et de nos droits
R_25HGyG4yGlnqVyr,Economy
R_2Uata3Ulat8XUyA,L'environnement
R_2wad9Gy1fpE1r2X,La dette
R_3iWpI6qss5IMiLe,Health care
R_2bqMfUVZvJrrZ4d,coved 19
R_2Qlbh79DYBbJhcJ,health care
R_sUynyjewr9nJD4R,"Housing, homeless population, drug crisis and climate change"
R_2UWa8xNV3kxgeEE,No squabbling among the candidates
R_23dU36p7tn9BbEA,Economy
R_1eWYqkJ6luL8xvy,"cost of health care for those (like me) with no insurance plan - cost of prescriptions, eye care, dental care etc"
R_wTznmBbtvoAEgJb,Reopening the economy
R_3P4Z5yILRbxuOta,Universal basic income
R_1NymZUv1W0f4XK4,Covid
R_30iOWHy0Ym9oXvs,post covid economic recovery
R_1GNzFDHRLPb6bRM,Biased news articles/false information
R_3388Q83CYQ7Vs2i,No clue
R_3nCSWQLpPVZGbIu,Climate change and environmental protection
R_1OHL4ybMsko4anW,Environnement
R_29jqyP2ZHjmTEIJ,Fiscal responsibility
R_3lQERW81DXpikN8,Fake news and western seperation
R_1FfcpXQ4DXlDROy,Pandemic
R_1F9P5bSTU9fHawd,-99
R_Di2z3r7jCHct1F7,the gradual loss of our basic rights and freedoms and the National Debt
R_1cUGinAc5nVpdVd,covid
R_3JjW9P7OgyyIRwY,Life Affordability
R_2f3ugKUaWNZXHNb,Économie
R_2OK3sZ7aNJyHGsB,Environnement
R_3iLxe0mg7QByctm,La dette nationale
R_ZK4leO5uU5J4uZz,immigration
R_2c0mzWgM1iVmLfP,"Looking after the old, sick and disabled."
R_XAlCkSCM1Hn7c0F,Les services offerts aux familles
R_3oYpvjR1BoH4PdL,Environnement
R_1hLoovV7SNlE355,large deficit
R_2wHSWs5XqFJ2kpN,For the wealthy people to pay their proper share of taxes
R_3qU04VaCgzPF3QZ,Economie du pays
R_p5TjYshLqNusBRD,Dette publique
R_wTAqITry06adozv,UBI
R_25uUCbsw54KKSK3,needs to be supplied to each |Canadian equally.
R_e3vScmopxYmtK49,ECONOMY
R_2QzBR4RQz6di4o6,Housing
R_1oFigbR4lYYk0b8,Don’t have one
R_3FP4nLgfQAjrKvN,Continued proper management of Covid. Affordable housing
R_1qecren18ABHHtp,Climate change
R_sd51Ikwtt5MZKiB,L’économie
R_3MPBHonTdXhmtLt,Proportional Representation
R_ONmVyY0sjK1tDb3,health care
R_3snLul7NVEM47bb,Coronavirus and climate change
R_0p4Le02t7W4wfkt,Honesty
R_264RWFFAq4bOqUU,debt
R_1ow2t4v38RBnoY0,"With the Covid 19, it's not the time for election, a lot of people were not ready"
R_3mfP30IDd1uzArN,Poverty and homelessness
R_PvAsUR4HjtTUQdH,Centralisation du gouvernement fédérale
R_3KPxnEigI5Kja6B,Affordable housing
R_3s4XEzNLklGuYHI,Jobs
R_272y1B3CGzhKxQx,Trust
R_2Sc8jNgkE1Wbm6G,Housing prices
R_2YJ3PSZ4rOcsqOp,Cost of living
R_1DHaAkJXCVmVTLC,Dealing with the pandemic and the naysayers
R_2B8RZDiiGg165el,Liberty
R_2S05azghvttmYGO,economy
R_2dhxNG6EkJMlGEm,Lutte aux changements climatiques
R_2cbJx6JAwOJv5Ws,Economic Recovery
R_2AXWJ12KYnx8GXI,Getting rid of covid
R_2uVd79R8mCFpleF,covid vaxine requirements
R_33lMvnXi8mZ2zTM,COVID
R_1qeW6xUpYqD8xog,Climate action
R_1pzALKt8ocg8b4K,Soins de santé
R_1kFzsxoxuZKMxtL,fighting racism
R_2BhScSOHv7K3lSr,Climate change
R_28LO09x3kkD9hF6,Economy
R_1pEVVUrJmkBByhi,OSAP funding and health care
R_1d9XIpIfmdhyaLj,Housing
R_OCNmPvp2mDqjTkl,unsure
R_7Ny98ZRGk0jYtDX,"Housing, homelessness, environment"
R_OveKHAOOLjXHTfX,Que les droits de la personnes soit respecté.
R_3mmcs4WG51wWI7O,Mental health
R_1Iy1DiOPqbyFgxC,Housing prices
R_7NvJWlysE4kk797,Je ne sais pas
R_XzDUQTZ2Fei3u1P,Economy
R_1JPgH49B4qDVw2O,That seniors be looked after financially as well as immigrates that come into the country.  Why immigrates should be able to collect more money than a Canadian who has put in their years of work and if and when they get a increase in the old age pension it is pennies on the dollar. Also the Federal Government should be made to pay back the money that they took from Canadian as it was not their money to take.  In whole senior's are not been treated fairly nor are all the people contributing to Canada Pension.
R_wQQsdIldCiqdKrT,Housing
