cps21_ResponseId,cps21_imp_iss,category
R_cNjVz4ca7ztpak9,L'environnement les changements climatiques,Climate Change
R_31ckhbSSMegvtym,Senior care,Seniors Care
R_1hBbO9VBrHvnfQO,Healthcare,Healthcare
R_AMAdU6OTBrvUBKF,housing,Housing
R_T7nQydPf35i1utX,"non-antagonistic, non-imperialist foreign policy with other countries",Foreign Policy
R_3FOMEohqv1FG0aJ,Health care,Healthcare
R_qI2Ds9vckEpRSI9,La fin de la PCRE,COVID-19
R_AvUBPG5rVBYukSt,Covid,COVID-19
R_1CkLowLgbuhZOPv,The economy and jobs.,Economy
R_Wd2twxmLyLNRpzb,Taxes,Fiscal Responsibility
R_3soZ32XDDlGW1z7,Chercher un bon administrateur pour le pays.,Government Accountability
R_1CHnVFpkEcpBSe2,Housing affordability,Housing
R_1f1LCHIvcfeQGqW,Election system,Election Reform
R_2XjuVkUPrbdCYVP,"Survey Feedback:  Please include a progress bar so participants can see their progress.  Please increase the reward for the survey if there is no progress bar to reflect the inconvenience.housing crisis, ending first past the post, first nations reconsiliation, climate change",Other/Uncertain
R_24ufSjHEwcjRWRT,Les valeurs canadiennes,Other/Uncertain
R_ZxacPcweEPIuEGR,Covid 19 management & economic recovery,COVID-19
R_1CjywXvkPwhACdb,Climate change,Climate Change
R_1LcUUN0jH1YHu31,Canadian health system,Healthcare
R_eXrz2Wq9xBOeiul,Choisir le bon premier ministre,Political Leadership
R_2saQS2vfv7I173M,deficit an debt,Fiscal Responsibility
R_NWlZPJJVR1pDL33,housing availability and pricing,Housing
R_3lxGq08DH6PFdv0,Économie,Economy
R_1Hc90MH2wrxnZkV,Healthcare,Healthcare
R_12MszYTHACpHm08,COVID-19,COVID-19
R_233OLiAXwJ4vvPE,Économie,Economy
R_1MLguj00MH2eawo,Impôt,Fiscal Responsibility
R_5tG5eXKvrH3FIZP,The truth.  Enough BS already.,Government Accountability
R_1pJRMuvfQIm3Gq3,Covid Recovery,COVID-19
R_1d6S9M9WKJp9C9n,Getting Trudeau out,Political Leadership
R_3HjYpA21wvVlqLD,Electoral reform,Election Reform
R_3CJJdtv6c0YoN4o,Having a leader that actually cares for their people and country,Political Leadership
R_1Ff9LBXeCfiZjTb,Freedom rights,Government Accountability
R_11hzyC6EI3oeur1,Healthcare,Healthcare
R_2wv6BZPuSZwJxo8,Education,Education
R_1GHU3MjMpofSCkl,environment,Environment
R_1CvIoiNbzRWSkUq,Diversity and inclusion,Immigration
R_2uwUzmrnELKI4bQ,healthcare,Healthcare
R_Y2XKRN1YDSVmgX7,Get rid of catch and release,Immigration
R_3jdmo7zkgR4Fqd7,climate change and environmental issues,Climate Change
R_XMniyKSZMmXqMRX,améliorer la qualité de vie des canadiens,Economy
R_2uPahKuRlCZZn8Z,Budget,Fiscal Responsibility
R_2qBJQiSBZsOzSud,that we be led by elected officials that care for citizens not themselves,Political Leadership
R_w1adWDKONHJbTOx,Economic recovery,Economy
R_1puQDU5ROEE4xuw,The economy,Economy
R_3FRtgQbJCDJMr54,Économie,Economy
R_3g2fEGk4z9BJebU,COVID-19,COVID-19
R_1hBaeWcgo8eR2Vo,Affordability,Economy
R_3pfgTEbbklqdWsk,Lowering the deficit,Fiscal Responsibility
R_3dQAiJKKhgY0f6I,Healthcare,Healthcare
R_2Veku0IW7Y1hPcm,National unity,Political Leadership
R_3nix5oG9CWtpy1k,housing,Housing
R_2RUJ5CNcoItbQcI,Le contrôle de la dette pour les générations futures,Fiscal Responsibility
R_1iqG4qSn75pQHSN,Getting Trudeau out of office,Political Leadership
R_ONzbFsmC6kEgsZX,THAT CERB DOES NOT NEED TO BE REPAID,Economy
R_1CEJRHkhIoq52Eb,Environnement,Environment
R_1F8LnqyRXVFFuPC,Health care,Healthcare
R_6x6Pz96UV0Svx9n,economy,Economy
R_3lLYh1NY1XHD4wE,None,Other/Uncertain
R_1QtQePsw0ZQgqw0,Taxes,Fiscal Responsibility
R_AHDWxti7N6MXbxv,Identité,Immigration
R_27eE5PByKHRXWht,Environnement (climat),Environment
R_Yb2NJKwyNGMccaR,La situation Covid et sa gestion pan canadienne,COVID-19
R_cTQ0KbrDJuIk6Gd,Discrimination against indigenous people,Indigenous Issues
R_3qEVp5p6LZgnjd2,Our country’s financial future,Fiscal Responsibility
R_3EMZGttQ7oaoptk,Climate change,Climate Change
R_3HYMFPS9mnkrWS6,healthcare,Healthcare
R_3fd6fpqBOGsNeHp,the health care system,Healthcare
R_1IfLh0VGmcQdYsH,climate change,Climate Change
R_3Es7VlnQlsnNLTd,I don’t know,Other/Uncertain
R_2qxd5gxZTUpBBKG,Dealing with the pandemic (COVID),COVID-19
R_12xteUIHkmTqhwd,LA BONNE GESTION DE LA SANTÉ PUBLIQUE,Healthcare
R_3KrrDY9SXEhsMw1,Who to vote for,Political Leadership
R_3RqK18TSsQD9KOm,I don't know,Other/Uncertain
R_XjKS5zHOP8UsKqd,Having a competent government,Government Accountability
R_1Kvd0CzRQe0d57G,transition énergétique,Climate Change
R_zbX6fAb2ggkde5H,Relance economique,Economy
R_1lcbRVKN9YzfJV7,a plan to fight covid 19 and preparation for future pandemics,COVID-19
R_3oHNFn9xCSKEdmy,Environment,Environment
R_bORLU4bybRYpbWx,Debt,Fiscal Responsibility
R_2txkZtF8TuEYPfo,How they will handle covid,COVID-19
R_p5l28LDnOQUexKV,Covid19,COVID-19
R_87HesT1wZJdJ8hH,Affordable housing,Housing
R_1LNJYAesEBCTq89,No comment,Other/Uncertain
R_PGo6Tx2MPG3Q9WN,Getting rid of Justin Trudeau,Political Leadership
R_3hDVoXZ0ZNGm85j,deficit,Fiscal Responsibility
R_1JPmoKTmWmIz6pk,Healthcare,Healthcare
R_2ScuhJpzbqx3211,Economy,Economy
R_RfQbp0sBe0sXXLX,Climate Change,Climate Change
R_3Oia7YS0SuFki59,L'environnement,Environment
R_cHkwX7o9l8y3o9r,Economy,Economy
R_3DdnBXJFRqh8vfQ,La Pandemie,COVID-19
R_tJPEqEsMGHxQ2MV,Se débarrasser de Trudeau,Political Leadership
R_1NlCC9fkYlX16rp,Racism human rights environment,Environment
R_D8jZ4EVlkHWfiIV,COVID,COVID-19
R_3gMLnF0BEa2HfxT,change,Political Leadership
R_2duQRaxmttl8P3y,the climate crisis,Climate Change
R_1iaLWaUbFrWyi8n,Addressing climate change,Climate Change
R_2AHlfcGb8NrWLpk,Climate emergency,Climate Change
R_12Lo4UOesjisat8,Homelessness,Housing
R_3hxy7EcX5oybvWU,Économie,Economy
R_DHqBSw3qZUl9acp,Keeping our democracy,Government Accountability
R_eWGTY1asaJCtO5r,Our country's debt!!!,Fiscal Responsibility
R_3L1lZaUkIpAPEgD,avoir un gouvernement qui saura gérer le pays et non son égo,Government Accountability
R_yVkc69xQCtqnXA5,covid19,COVID-19
R_27O7foduPRwP4Yf,Reshaping Care for Older Adults,Seniors Care
R_3MhexIeOnoeqlUf,Environment,Environment
R_3nVoRo2VUla5ON7,climate change,Climate Change
R_1CI8Fxvh0exDDON,la santé,Healthcare
R_3n94I5XEsWbevcC,La gestion de l'économie en temps de crise,Economy
R_1QMCdQARFteCQx4,Overcoming covid,COVID-19
R_10OEBmuK2Dhf7cR,La covid,COVID-19
R_bPLfJvpKOX2eEx3,Housing affordability,Housing
R_1mjT4f33zeJNlHc,Urgence Sanitaire,Healthcare
R_ZdvBtrFBGlhsAGB,CCB and support for the Middle Class,Economy
R_4VAPWiLOEKpdNSN,-99,Other/Uncertain
R_1ewSJahkAjmNGOJ,Climate change,Climate Change
R_32WQKUd5qWtyiRK,senior citizen supports,Seniors Care
R_1DqCtfGuEli68k8,National Defense Procurement,National Defense
R_21ngbcXw3I3M69y,La santé,Healthcare
R_da8aCGYxxL1kHip,-99,Other/Uncertain
R_sogOfxLtZ6Xg7pn,Covid,COVID-19
R_1gSJC7Lg6HffPss,La sante,Healthcare
R_usuPbFQpyERXe7f,aucune idee,Other/Uncertain
R_qFt5ZtX0FH3XPyN,Quality of Senior care facilities,Seniors Care
R_9z6tbrNPuXLpoOJ,More money for people on disabilty,Seniors Care
R_31LXnC5k3UrFAAG,Global warming,Climate Change
R_3JhnCpxicv947R8,Santé,Healthcare
R_0vzvp6VvFOy8LGF,L’environnement,Environment
R_u8v5HhuOgaSI9PP,Healthcare,Healthcare
R_2wKqjre77SwIzVg,Job security,Economy
R_1C2cRLpvfCx2wvw,Covid,COVID-19
R_3nOybctALR5bHhz,Government accountability,Government Accountability
R_2CfTSHBQaKzFZsd,Climate Change,Climate Change
R_WeTSHRDEO2tnCDf,Healthcare,Healthcare
R_UA8v7nDugvrXNzX,Recovering economic,Economy
R_3iW2nilHsibGmY1,Justin Trudeau's power grab,Government Accountability
R_3GE2A7GEV3HuNXu,Law & Order,Government Accountability
R_O1hFW9y38rKG0bn,Économie,Economy
R_bf4rNYsbzqSOcuJ,nothing,Other/Uncertain
R_1QKS6NGmUIFjN7f,climate change,Climate Change
R_3rHPxL3NreDtSs3,Pandemic response,COVID-19
R_3rZZmerS63iL4zL,SENIOR CARE,Senior Care
R_2qn1QxbmabddJgz,Indigenous matters and affordable housing,"Indigenous Issues, Housing"
R_1KseQl36guwjGBH,Planet,Environment
R_ZlTYeUOYu0rnOKd,système de santé,Healthcare
R_295k9MpaTlvJrCg,Housing affordability,Housing
R_z2QfjCJZS7kkZMt,Corruption,Government Accountability
R_PzcRycUNvZkadUt,Immigration,Immigration
R_1rqZOgVld6Xdk7L,Immigration,Immigration
R_2ZUpQaj2wNsaZYg,Le partage des compétences entre Quebec et Ottawa,Government Accountability
R_1g8sBpoNi0MHLek,Housing & climate change,Housing & climate change
R_3lSOsLuvGWCY5KG,Leadership lacking,Political Leadership
R_1kSUaKiSlxCIGFC,Healthcare,Healthcare
R_31cm1j448SOaKZc,Economy recovery,Economy
R_wO9Fcx6QpRp9Qjv,Economy,Economy
R_A0eWcqsp1jhOlSF,Economy,Economy
R_1pYUwMXKX0JxFuO,Dealing with COVID-19,COVID-19
R_1py9s82lsEFhEKR,LES AUTOCHTONES,Indigenous Issues
R_2UbEBrsj5SoGBpP,To make my vote count,Election Reform
R_1N8ELQQuVkGXuFn,Covid,COVID-19
R_2eRPsRpk4zbgUS8,Climate change,Climate Change
R_1luhE15Xxw8V2mg,Protection de l”environnement,Environment
