UniqueID,open
ID51010438,"First passed the post, politicization of non political things, possible foreign interference, misinformation and disinformation"
ID51706126,Well I think there will be outside influence as this has already occured many times!
ID52055259,too much influence from outside on Canadian politics
ID52528705,History  !
ID52536378,to me free and fair would have been if Trudeau replaced first past the post with any other more reasonable and representative voting system like he was originally voted in to do.
ID52834693,Car il ne se sont pas encore produits
ID53038099,"There is likely meddling in every election the world over where those who are the 'controllers' wish to remain in control and ensure leaders are elected who will do their bidding and who are bribed, and/or blackmailed to do so."
ID53043914,I think that the way Quebec votes overrides the rest of the country and takes the election
ID53134917,One one government can be free and fair. And it&#8217;s not this one.
ID53457159,"Too early to tell; Will likely be filled with much misinformation and political posturing, without much action."
ID54339211,Yes
ID54706199,"Two words, Proportional Representation"
ID54708990,I&#8217;m not into politics
ID54760718,Media influence and biased coverage will influence voters
ID54847765,Parce que ce ne les jamais.
ID55117163,"A party system is never free or fair. And the way our country&#8217;s votes are heavily focused in Ontario, that is not free or fair."
ID55498343,The CPC is an untrustworthy party as has been shown in the past
ID55587158,Because there is no way to know everything happening and all parties act like children blaming it on another party or person
ID55891164,Trudeau is not to be trusted.  I believe he will do whatever it takes to win !!
ID55942622,Social media and partisan attacks by major parties will erode trust in elections and parties.
ID55951578,"Citizens fed up with the current politics, don't care because they dont care about canadians."
ID56176659,Smaller populations have pretty much no say in votes.
ID56220443,I don't trust the Liberal party at all.
ID56329032,"Le billet largement favorable aux idées de gauche dans les grands médias ne favorise pas une circulation saine d'une information juste et neutre, ce qui de facto vient à biaiser les opinions et par conséquent, la prise de décision lors du vote. Cependant"
ID56416069,All elections are rigged and controlled by the elites in power
ID56438287,Foreign interference and voter fraud.
ID56465844,C&#8217;est parce que plusieurs personnes sont temporaires dans les bureaux votes et agissent comme ils le pensent. Les règles ne sont pas assez claires.
ID56707969,Je ne fais pas confiance
ID57028683,The election will be 'free and fair' by the usual standards of Canada but our elections have never been particularly democratic or representative because our system is designed to gain popular consent and legitimacy for the policies our elites have alrea
ID57201916,Can't see the future
ID57294191,sais pas
ID57326581,Same as the US election. Believe there will be outside interference from organizations and foreign Countries.
ID57453471,CBC and other stenographers of the powerful will influence the results and I will have no say or my bankaccount will be blocked. First past the vote and the joke of the parties that are there. Its one big club and we are not in it. I am an Ex-founder of
ID57486175,It is based on a non-partisian voting system that is more robust than external factors
ID57537179,Liberals will do everything they can to rig the election.
ID57635185,politicians lie
ID57812574,Car je crois que ma vois ne sera pas d'une grande portée.
ID57977049,It is what it is
ID58405952,Je suis pas encore cityonne
ID58460049,"The media is firmly in the pocket of the Liberal party, federally."
ID58507221,"To much interference by outside groups, too many contributions from outside Canada.  Ethnic groups banding together  to gets what's."
ID58631444,Recently it seems politicians are more insulting and degrading of each other
ID59098773,N/A
ID59123231,No election is free or fair.
ID59370259,"Elections Canada has admitted that 205,000 mail-in ballots sent out during the 2021 federal election were not counted. I'm aware they arrived after the deadline but when a country is politically polarized it decreases the trust citizens will have with re"
ID59586780,"There will always be questions in an election, we hopefully will have fair elections but we never know."
ID60160090,Manque de représentation proportionnelle
ID60192124,"Fair implies equity for all and that is simply not true. It will not be free because we pay for it, it will not be fair because the west has very little say in politics based on population, despite being the richest province in Canada. Fair would be new"
ID60223424,"There will be cheating, just like there was in the last US election"
ID60393325,Elections are always rigged and are never fair
ID60427426,Not enough voter turnout may bias towards one party.
ID60429270,hiding information about what candidates have done
ID60560765,I&#8217;m not really following it so I don&#8217;t know what is happening
ID60655984,Any party in power will not hold an election unless they are assured to win. Such is the addiction of power.
ID60868469,Mail in voting is a weak point.
ID61499530,Nothing is free or fair anymore
ID61608480,Hit the wrong one should be exacted opposite
ID61669805,media in Canada paid by federal government for unbalanced reporting
ID61807470,"With the rise of very disheartening events in the USA, such as the burning of ballot boxes, the intimidation of voters both close and away from election offices, threats to elected ""local"" politicians and billionaires banning people for expressing opinio"
ID61889912,on parle déjà d'une possible ingérence dans le passé ... et rien n'a été modifié depuis...
ID61926847,"It seems slightly better than the us system, but I'll keep an eye on it..."
ID62284926,All parties are ridiculous
ID62306266,"I don't believe it has been free since we've been under Trudeau' dictatorship like ways of. From the very first scandal there was no excuse to allow the liberals . To have power and yet they helld, scandal after scandal. There is no justice  for the peop"
ID62467734,Lack.of trust in this system.
ID62586682,First-past-the-post is not a fair electoral system.
ID62713459,When the majority of provinces and municipalities vote for a party yet another party win there is definitely something wrong with the system
ID62818565,ingerence possible
ID63067285,Free and fair is a loaded term used over and over in a municipalation tactic from the media.  Nothing is free.
ID63941855,Election system isn't designed to be truly fair and representative of populous direction
ID63965107,Politicians are corrupt.
ID64031419,The party that has the most money and fights the dirtiest will make a lie of that statement.
ID64164965,because we will find out after the results.
ID64534063,they do not look into foreign interference when it is in their party they just want all the seats they can get . so they just ignore all the evidence .
ID64993849,"We still don't know the MPs, if any, that are influenced by foreign governments, and are essentially committing treason. One of many issues."
ID65187014,Je ne fais pas confiance à  100% aux résultats donnés aux citoyens
ID65262107,Corruption
ID65268245,I think there will a lot of spin from all parties and people don&#8217;t fact check. They just vote like a sports team. They don&#8217;t take the time to hear all sides and different opinions to make an educated vote.
ID65335224,Elle on l&#8217;air asser prévisible et le prediction représente le désir de changement.
ID65445708,"Given the fact that Chinese international students were bussed in to vote for a Liberal candidate and no one has been held accountable in real terms, how could I put strong trust in the system?"
ID65510156,L argent a trop d importance
ID65545768,The main media is bought by our government and is biased
ID66099176,Interference from foreign governments will compromise candidates during the selection process.
ID66611914,Don&#8217;t have much knowledge about politics
ID66743604,La peur des gauchistes des conservateurs
ID66886050,what does free and fair mean in this context? Sounds like a vague platitude.
ID67718939,I don&#8217;t know the future but I hope so.
ID67850622,I don't know enough about its inner workings or the system itself to predict how valid the election will be.
ID67959266,MPs are voted by non Canadians esp in liberal party.I believe there is dirty money and groups voting for people based on colour or country origin.people who were not born in Canada but become citizens have a different influence on people or China or Indi
ID68103663,Parce que la place qu'occupe le Québec au parlement est trop faible
ID68247829,Nous subirons sûrement l influence des élections aux USA
ID68326177,Les médias sont payés par le gouvernement en place et dresse le peuple comme des rats avec une rhétorique divisive du genre : Libéral=bon Conservateur=méchant... C'est pas une démocratie c'est du partisantisme. Je ne crois pas que 15% des électeurs sont
ID68473573,Aucun partie me convient
ID68495555,things can change
ID68556371,People brought to Canada will vote for whoever bribes them.
ID68902233,It won't be based on the foreign interference. We can list several of the countries who have tried to influence our country.
ID68988823,People don&#8217;t get full truth to vote with.  That&#8217;s not informed choice.
ID69042063,"To be honest, corruption happens deep down silently and why that may not be the case for the election coming up as I have no knowledge on that. I do believe it&#8217;s not impossible for corruption to take place."
ID69222480,I will wait and see how biased the main stream media is and with party will make firm policy promises and limits personality politics.
ID69431580,Polière agit comme Trump !
ID69533089,I can't predict the future. We'll see how it goes first.
ID69649974,Na
ID70218222,Because no person who has valid knowledge of how this country had been run would have ever let Pierre Trudeaus son be the prime minister. 4 years and no elector reform there's no way he was actually elected again. Shame on this government.
ID70283477,Je ne sais pas.
ID70396709,Due to rising concerns of international interference based on the recent events of conservative party members being involved with India and political foul play.
ID70443980,I don't know.
ID70518552,Foreign interference! Name those working against Canada (treason)
ID70714939,Some politicians spread a lot of false information and lies to incite chaos which has caused a lot of violent reactions with the public across the country
ID70722289,How can I know about it?
ID70833839,"The Canadian federal govt.  is fascist and corrupt.  They work to enrich themselves, not to serve CDN taxpayers.  They expelled those who would not get the covid shot, censored doctors and others who offered advice that went against the 'experts', and ar"
